depth (m),age (BP),age (BP),temperature (degC),planktic.d18O (permil),planktic.MgCa (mmol_mol),d18O (permil),d13C (permil)
0.075,214,235,28.05,-3.16,4.932,1.97,0.47
0.175,502,547,27.66,-3.11,4.763,NA,NA
0.275,791,857,28.2,-3.21,5,NA,NA
0.375,1083,1166,27.84,-3.15,4.839,NA,NA
0.475,1377,1473,26.62,-2.96,4.336,NA,NA
0.575,1672,1780,27.66,-3.09,4.761,2.11,0.54
0.675,1968,2085,27.85,-3.1,4.845,NA,NA
0.775,2266,2390,27.08,-3.16,4.519,NA,NA
0.875,2567,2694,28.72,-3.15,5.24,NA,NA
1.075,3176,3299,27.2,-3.07,4.567,NA,NA
1.175,3485,3600,27.57,-3.22,4.723,NA,NA
1.275,3796,3901,27.45,-3,4.674,NA,NA
1.375,4109,4200,28.05,-3.27,4.932,NA,NA
1.475,4420,4496,28.33,-3.29,5.057,NA,NA
1.575,4729,4787,26.68,-3.13,4.361,NA,NA
1.675,5031,5073,27.58,-3.14,4.725,2.16,0.29
1.775,5322,5349,27.8,-3.24,4.823,NA,NA
1.875,5598,5614,27.32,-3.05,4.616,NA,NA
1.975,5856,5865,28.16,-2.8,4.979,NA,NA
2.075,6101,6105,28.04,-3.25,4.925,NA,NA
2.155,6288,6290,27.7,-3.07,4.78,2.13,0.33
2.255,6512,6513,28.78,-3.18,5.266,NA,NA
2.355,6727,6729,28.05,-3.24,4.931,1.99,-0.22
2.455,6934,6939,27.92,-3.14,4.875,NA,NA
2.555,7135,7143,28.09,-3.21,4.951,NA,NA
2.655,7330,7343,27.82,-3.12,4.83,NA,NA
2.755,7520,7538,28.17,-2.94,4.986,NA,NA
2.855,7704,7729,27.99,-2.95,4.904,2.09,0.03
2.955,7883,7917,28.12,-3.09,4.961,NA,NA
3.055,8057,8100,28.22,-2.77,5.007,NA,NA
3.155,8225,8279,28.1,-2.8,4.956,NA,NA
3.175,8258,8314,27.41,-2.889,4.655,NA,NA
3.195,8291,8350,27.96,-2.824,4.89,NA,NA
3.215,8324,8385,28.12,-2.975,4.964,NA,NA
3.235,8356,8420,27.94,-2.858,4.883,NA,NA
3.255,8389,8454,28.56,-2.81,5.165,2.39,-0.22
3.275,8421,8489,27.99,-2.839,4.907,NA,NA
3.295,8453,8523,28.95,-2.911,5.346,NA,NA
3.315,8485,8558,28.63,-2.872,5.196,NA,NA
3.335,8517,8592,28.91,-3.048,5.329,NA,NA
3.355,8548,8626,28.4,-2.89,5.089,NA,NA
3.375,8580,8660,29.28,-2.769,5.508,NA,NA
3.395,8611,8694,29.3,-2.871,5.518,NA,NA
3.415,8643,8728,29.64,-2.76,5.688,NA,NA
3.435,8674,8762,28.31,-2.851,5.046,NA,NA
3.455,8706,8796,28.51,-2.86,5.139,NA,NA
3.475,8737,8830,28.48,-3.135,5.125,NA,NA
3.495,8768,8864,28.13,-3.032,4.968,NA,NA
3.515,8800,8898,28.63,-2.688,5.196,NA,NA
3.535,8831,8932,27.99,-2.841,4.903,NA,NA
3.555,8863,8966,28.29,-3.07,5.041,NA,NA
3.575,8894,9000,28.91,-2.677,5.328,NA,NA
3.595,8926,9035,28.41,-3.131,5.095,NA,NA
3.615,8958,9069,28.21,-3.054,5.003,NA,NA
3.635,8990,9104,28.34,-2.882,5.064,NA,NA
3.655,9023,9139,27.7,-2.99,4.778,NA,NA
3.675,9055,9174,29.05,-2.926,5.396,NA,NA
3.695,9088,9210,28.32,-2.856,5.054,NA,NA
3.715,9121,9245,27.87,-2.845,4.851,NA,NA
3.735,9154,9281,28.28,-2.825,5.034,NA,NA
3.755,9188,9318,28.03,-2.88,4.924,2.37,-0.2
3.775,9222,9355,28.31,-2.669,5.047,NA,NA
3.795,9257,9392,28.33,-2.932,5.057,NA,NA
3.815,9292,9429,27.54,-2.717,4.712,NA,NA
3.835,9327,9467,28.24,-2.753,5.018,NA,NA
3.855,9363,9505,28.2,-2.8,4.999,NA,NA
3.875,9400,9544,28.34,-2.914,5.062,NA,NA
3.895,9437,9584,28.23,-2.961,5.01,NA,NA
3.915,9474,9623,28.71,-2.693,5.233,NA,NA
3.935,9513,9664,28.8,-2.748,5.278,NA,NA
3.955,9552,9705,28.1,-2.8,4.955,NA,NA
3.975,9591,9746,27.97,-2.509,4.896,NA,NA
3.995,9631,9788,27.86,-2.621,4.85,NA,NA
4.015,9672,9831,28.57,-2.599,5.168,NA,NA
4.035,9713,9874,28.51,-2.619,5.139,NA,NA
4.055,9755,9917,27.85,-2.64,4.843,2.12,-0.37
4.075,9798,9961,28.5,-2.635,5.135,NA,NA
4.095,9841,10005,28.53,-2.691,5.151,NA,NA
4.115,9885,10050,28.34,-2.778,5.061,NA,NA
4.135,9930,10095,29.06,-2.681,5.399,NA,NA
4.155,9975,10141,27.49,-2.6,4.691,NA,NA
4.175,10021,10187,27.91,-2.546,4.869,NA,NA
4.195,10068,10233,28.11,-2.663,4.958,NA,NA
4.215,10116,10279,28.09,-2.769,4.947,NA,NA
4.235,10164,10326,28.35,-2.663,5.064,NA,NA
4.255,10212,10373,28.68,-2.52,5.218,NA,NA
4.275,10262,10420,29.25,-2.76,5.496,NA,NA
4.295,10312,10466,28.13,-2.798,4.965,NA,NA
4.315,10362,10513,28.25,-2.68,5.02,NA,NA
4.335,10414,10560,28.21,-2.713,5.001,NA,NA
4.355,10466,10607,28.74,-2.6,5.249,NA,NA
4.375,10518,10654,28.25,-2.797,5.02,NA,NA
4.395,10571,10700,28.42,-2.82,5.099,NA,NA
4.415,10625,10747,28.11,-2.63,4.958,NA,NA
4.435,10679,10793,27.96,-2.866,4.89,NA,NA
4.455,10734,10839,28.43,-2.6,5.105,NA,NA
4.475,10790,10885,28.37,-2.592,5.074,NA,NA
4.495,10846,10931,27.79,-2.783,4.816,NA,NA
4.515,10902,10976,28.42,-2.604,5.096,NA,NA
4.535,10960,11022,28.31,-2.523,5.049,NA,NA
4.555,11017,11067,28.37,-2.53,5.074,NA,NA
4.575,11075,11112,28.27,-2.56,5.031,NA,NA
4.595,11134,11158,28.67,-2.437,5.214,NA,NA
4.615,11194,11203,28.08,-2.552,4.944,NA,NA
4.635,11253,11248,28.14,-2.707,4.972,NA,NA
4.655,11314,11294,27.88,-2.5,4.856,2.48,-0.05
4.675,11375,11339,27.91,-2.375,4.87,NA,NA
4.695,11438,11386,27.66,-2.296,4.762,NA,NA
4.715,11501,11432,28.72,-2.369,5.236,NA,NA
4.735,11566,11480,28.37,-2.423,5.077,NA,NA
4.755,11632,11528,28.45,-2.35,5.111,NA,NA
4.775,11700,11577,27.98,-2.31,4.901,NA,NA
4.795,11768,11627,28.29,-2.044,5.04,NA,NA
4.815,11838,11678,28.42,-2.363,5.1,NA,NA
4.835,11909,11730,28.32,-2.183,5.054,NA,NA
4.855,11981,11783,27.88,-2.44,4.858,2.5,-0.26
4.875,12054,11838,27.41,-2.155,4.655,NA,NA
4.895,12128,11894,28.55,-2.255,5.16,NA,NA
4.915,12204,11952,28.39,-2.231,5.083,NA,NA
4.935,12281,12012,27.53,-2.192,4.705,NA,NA
4.955,12359,12074,27.87,-2.14,4.854,2.48,-0.13
4.975,12439,12139,27.84,-2.104,4.841,NA,NA
4.995,12520,12206,27.71,-2.259,4.781,NA,NA
5.015,12602,12275,28.23,-2.144,5.011,NA,NA
5.035,12686,12347,28.34,-2.1,5.063,NA,NA
5.055,12771,12422,27.99,-2,4.904,NA,NA
5.075,12858,12500,28.28,-2.108,5.034,NA,NA
5.095,12947,12581,27.67,-1.991,4.765,NA,NA
5.115,13037,12665,27.74,-2.082,4.795,2.65,0.13
5.135,13129,12752,27.63,-2.025,4.747,NA,NA
5.155,13224,12842,27.22,-2,4.577,NA,NA
5.165,13272,12889,27.38,NA,4.644,NA,NA
5.175,13321,12936,27.48,-2.003,4.684,NA,NA
5.185,13371,12984,26.98,NA,4.48,NA,NA
5.195,13421,13033,27.08,-2.004,4.52,NA,NA
5.205,13472,13082,27.15,NA,4.548,NA,NA
5.215,13524,13132,27.23,-1.87,4.583,2.75,0.12
5.225,13577,13183,27.24,NA,4.583,NA,NA
5.235,13630,13235,27.14,-2.013,4.544,NA,NA
5.245,13684,13288,27.16,NA,4.551,NA,NA
5.255,13739,13341,26.33,-1.89,4.224,2.64,0.11
5.265,13795,13395,25.91,NA,4.068,NA,NA
5.275,13852,13450,26.68,-1.885,4.361,NA,NA
5.285,13909,13505,27.7,NA,4.779,NA,NA
5.295,13967,13561,27.1,-1.824,4.526,NA,NA
5.305,14025,13617,27.13,NA,4.538,NA,NA
5.315,14084,13674,27.22,-1.934,4.577,2.7,0
5.325,14143,13731,26.87,NA,4.433,NA,NA
5.335,14201,13788,27.13,-1.746,4.541,NA,NA
5.345,14260,13846,26.7,NA,4.369,NA,NA
5.355,14319,13904,27.01,-1.72,4.489,NA,NA
5.365,14378,13962,26.95,NA,4.467,NA,NA
5.375,14437,14020,26.96,-1.681,4.472,NA,NA
5.385,14495,14079,27.54,NA,4.71,NA,NA
5.395,14554,14137,27.47,-1.549,4.682,NA,NA
5.405,14612,14196,26.88,NA,4.44,NA,NA
5.415,14669,14254,27.38,-1.605,4.641,2.63,0.13
5.425,14727,14313,26.73,NA,4.378,NA,NA
5.435,14784,14371,27.29,-1.485,4.606,NA,NA
5.445,14840,14430,26.66,NA,4.351,NA,NA
5.455,14896,14488,27.02,-1.47,4.493,2.91,0.14
5.475,15006,14604,27.37,-1.491,4.639,NA,NA
5.495,15114,14719,26.93,-1.4,4.459,NA,NA
5.515,15219,14833,26.76,-1.314,4.389,3.18,0.14
5.535,15320,14945,27.54,-1.316,4.71,NA,NA
5.555,15418,15055,26.59,-1.18,4.324,NA,NA
5.575,15513,15162,26.88,-1.297,4.438,NA,NA
5.595,15603,15267,26.68,-1.52,4.357,3.07,0.13
5.615,15691,15369,26.67,-1.302,4.355,NA,NA
5.635,15774,15469,26.53,-1.221,4.301,NA,NA
5.655,15855,15566,26.62,-1.32,4.337,3.11,0.02
5.675,15933,15660,26.38,-1.154,4.242,NA,NA
5.695,16008,15752,26.28,-1.252,4.204,3.11,0.05
5.715,16080,15841,25.82,-1.216,4.033,NA,NA
5.735,16150,15928,25.88,-1.07,4.056,NA,NA
5.755,16218,16012,26.15,-1.22,4.157,NA,NA
5.775,16283,16093,26.2,-1.169,4.176,NA,NA
5.795,16346,16172,26.08,-1.324,4.13,NA,NA
5.815,16407,16249,25.97,-1.202,4.089,NA,NA
5.835,16466,16323,25.39,-1.215,3.882,NA,NA
5.855,16523,16394,25.93,-1.2,4.075,3.26,0.06
5.875,16578,16463,26.36,-1.179,4.235,NA,NA
5.895,16630,16530,25.58,-1.185,3.95,NA,NA
5.915,16681,16594,26.64,-0.885,4.345,NA,NA
5.935,16729,16655,25.92,-0.866,4.073,NA,NA
5.955,16776,16715,25.75,-1.17,4.009,NA,NA
5.975,16821,16773,25.86,-1.067,4.049,NA,NA
5.995,16865,16828,25.76,-1.015,4.013,NA,NA
6.015,16908,16882,25.69,-0.972,3.988,NA,NA
6.035,16949,16933,26.2,-1.09,4.175,NA,NA
6.055,16989,16983,25.55,-1.14,3.94,3.27,0.14
6.075,17028,17031,25.84,-0.973,4.043,NA,NA
6.095,17067,17078,25.29,-0.867,3.848,NA,NA
6.115,17104,17122,25.89,-0.921,4.061,NA,NA
6.135,17141,17165,25.77,-0.99,4.018,NA,NA
6.155,17177,17206,26.01,-1.06,4.105,NA,NA
6.175,17213,17246,25.27,-1.024,3.839,NA,NA
6.195,17249,17285,24.86,-1.015,3.7,NA,NA
6.215,17284,17321,25.76,-0.795,4.012,NA,NA
6.235,17319,17357,25.5,-0.906,3.922,NA,NA
6.255,17354,17391,25.26,-0.78,3.836,NA,NA
6.275,17388,17424,25.29,-0.771,3.848,NA,NA
6.295,17423,17455,25.68,-0.819,3.983,NA,NA
6.315,17457,17484,25.16,-0.717,3.804,NA,NA
6.335,17491,17512,25.8,-0.751,4.027,NA,NA
6.355,17525,17539,24.88,-0.72,3.706,3.13,0.08
6.375,17559,17564,25.4,-0.887,3.886,NA,NA
6.395,17593,17588,24.91,-0.877,3.718,NA,NA
6.415,17627,17611,24.93,-1.03,3.724,NA,NA
6.435,17661,17633,25.45,-0.866,3.901,NA,NA
6.455,17695,17653,25.01,-0.79,3.75,NA,NA
6.475,17728,17673,24.68,-0.95,3.642,NA,NA
6.495,17762,17692,25.11,-1.062,3.783,3.53,-0.01
6.515,17796,17710,25.46,-1.025,3.907,NA,NA
6.535,17829,17728,24.86,-1.178,3.7,NA,NA
6.555,17863,17745,24.9,-0.96,3.714,NA,NA
6.575,17897,17762,25.43,-0.912,3.895,NA,NA
6.595,17931,17778,24.68,-1.219,3.64,NA,NA
6.615,17964,17794,25.07,-0.911,3.771,NA,NA
6.635,17998,17810,25.14,-1.143,3.796,NA,NA
6.655,18032,17826,24.98,-1.32,3.741,3.53,-0.09
6.675,18066,17841,24.82,-1.019,3.688,NA,NA
6.695,18100,17857,25.15,-1.004,3.798,NA,NA
6.715,18134,17873,24.28,-1.016,3.512,NA,NA
6.735,18168,17889,24.48,-1.002,3.577,NA,NA
6.755,18202,17905,24.63,-1.08,3.626,NA,NA
6.775,18237,17921,24.52,-0.829,3.589,NA,NA
6.795,18271,17938,24.5,-1.082,3.582,NA,NA
6.815,18306,17955,24.83,-1.134,3.692,NA,NA
6.835,18341,17973,24.43,-0.836,3.561,NA,NA
6.855,18376,17991,24.96,-1,3.733,3.44,0.05
6.875,18411,18010,24.21,-0.957,3.49,NA,NA
6.895,18446,18030,24.01,-0.812,3.429,NA,NA
6.915,18481,18051,24.3,-0.89,3.518,NA,NA
6.935,18517,18072,25.2,-0.995,3.814,NA,NA
6.955,18553,18095,24.81,-0.88,3.685,NA,NA
6.975,18589,18119,25.43,-0.894,3.896,NA,NA
6.995,18625,18144,25,-1.014,3.747,NA,NA
7.015,18661,18170,24.37,-0.911,3.542,NA,NA
7.035,18698,18197,24.72,-0.919,3.653,NA,NA
7.055,18734,18225,25.04,-1.1,3.762,3.41,-0.05
7.075,18771,18254,25.05,-0.845,3.764,NA,NA
7.095,18808,18284,24.26,-0.927,3.506,NA,NA
7.115,18846,18315,23.74,-1.049,3.346,NA,NA
7.135,18883,18346,24.62,-1.013,3.622,NA,NA
7.155,18920,18379,24.9,-0.97,3.713,NA,NA
7.175,18958,18411,24.77,-0.833,3.671,NA,NA
7.195,18995,18445,24.94,-1.015,3.728,NA,NA
7.215,19033,18479,24.48,-0.796,3.578,NA,NA
7.235,19071,18513,24.71,-0.827,3.652,NA,NA
7.255,19108,18548,25.15,-1.04,3.799,3.5,-0.09
7.275,19146,18584,24.51,-0.914,3.585,NA,NA
7.295,19183,18619,24.35,-1.115,3.534,NA,NA
7.315,19221,18656,24.41,-1.006,3.555,NA,NA
7.335,19259,18692,25.73,-1.086,4.003,NA,NA
7.355,19296,18729,24.93,-0.7,3.726,3.6,-0.11
7.375,19333,18766,24,-1.016,3.425,NA,NA
7.395,19370,18804,24.69,-1.028,3.646,NA,NA
7.415,19408,18842,25.07,-1.019,3.772,NA,NA
7.435,19444,18880,24.56,-0.997,3.602,NA,NA
7.455,19481,18918,24.37,-0.76,3.54,NA,NA
7.475,19518,18957,24.4,-1.088,3.549,NA,NA
7.495,19554,18996,24.28,-1.072,3.513,NA,NA
7.515,19591,19035,24.4,-1.071,3.55,NA,NA
7.535,19627,19074,24.16,-1.067,3.474,NA,NA
7.555,19662,19113,24.53,-0.75,3.591,NA,NA
7.575,19698,19153,24.28,-1.165,3.514,NA,NA
7.595,19734,19192,24.23,-1.002,3.496,NA,NA
7.615,19769,19232,24.67,-0.867,3.639,NA,NA
7.635,19804,19272,24.81,-1.132,3.683,NA,NA
7.655,19839,19312,24.51,-0.77,3.586,3.52,-0.03
7.675,19873,19352,24.63,-0.867,3.626,NA,NA
7.695,19908,19392,24.4,-0.829,3.55,NA,NA
7.715,19942,19432,23.99,-0.816,3.423,NA,NA
7.735,19976,19472,24.03,-0.955,3.434,NA,NA
7.755,20010,19513,24.53,-0.86,3.594,3.53,-0.01
7.775,20044,19553,24.16,-0.991,3.476,NA,NA
7.795,20077,19593,24.27,-1.04,3.51,NA,NA
7.815,20111,19634,24.16,-0.949,3.474,NA,NA
7.835,20144,19674,24.67,-0.986,3.638,NA,NA
7.855,20177,19715,24.56,-0.98,3.603,NA,NA
7.875,20210,19756,24.5,-0.985,3.582,NA,NA
7.895,20244,19796,24.82,-0.978,3.686,NA,NA
7.915,20276,19837,25.15,-1.078,3.799,NA,NA
7.935,20309,19878,25.12,-0.95,3.789,NA,NA
7.955,20342,19919,24.5,-0.93,3.582,3.62,-0.09
7.975,20375,19960,24.73,-1.048,3.657,NA,NA
7.995,20408,20000,24.88,-0.869,3.706,NA,NA
8.015,20440,20041,25.21,-1.074,3.821,NA,NA
8.035,20473,20082,25.27,-0.862,3.839,NA,NA
8.055,20506,20123,24.01,-1.11,3.428,NA,NA
8.075,20538,20164,24.71,-0.965,3.652,NA,NA
8.095,20571,20205,24.46,-0.757,3.569,NA,NA
8.115,20604,20246,24.16,-0.985,3.475,NA,NA
8.135,20636,20287,24.58,-0.865,3.609,NA,NA
8.155,20669,20327,24.5,-0.88,3.582,NA,NA
8.255,20833,20531,24.49,-1.15,3.579,NA,NA
8.355,20999,20732,23.98,-1.1,3.42,NA,NA
8.455,21168,20932,23.97,-1.09,3.416,NA,NA
8.555,21339,21129,25.1,-1.06,3.782,NA,NA
8.655,21513,21324,24.66,-1.05,3.634,NA,NA
8.755,21689,21516,24.02,-1.13,3.432,NA,NA
8.855,21869,21707,24.04,-0.98,3.438,3.08,-0.16
8.955,22051,21896,24.63,-1.16,3.624,NA,NA
9.055,22234,22083,24.67,-1.18,3.638,NA,NA
9.155,22419,22268,24.63,-1.08,3.625,NA,NA
9.255,22603,22451,23.68,-1.14,3.329,NA,NA
9.355,22786,22632,24.26,-1.13,3.505,NA,NA
9.455,22968,22811,23.92,-0.87,3.4,NA,NA
9.555,23148,22987,24.68,-1.04,3.64,NA,NA
9.655,23324,23161,24.26,-1.38,3.507,3.55,0.13
9.755,23497,23332,24.13,-1.36,3.466,NA,NA
9.855,23668,23501,24.5,-1.27,3.583,NA,NA
9.955,23835,23668,24.22,-1.5,3.493,NA,NA
10.055,24000,23832,24.54,-1.46,3.595,NA,NA
10.155,24162,23994,24.83,-1.26,3.69,3.48,0.11
10.255,24320,24152,24.83,-1.23,3.691,NA,NA
10.355,24474,24306,25.29,-1.09,3.848,NA,NA
10.455,24622,24455,25.05,-1.01,3.766,3.53,0.12
10.555,24765,24599,24.97,-1.05,3.738,NA,NA
10.655,24900,24738,24.42,-1.09,3.555,NA,NA
10.755,25031,24872,25.16,-1.12,3.803,NA,NA
10.855,25156,25001,24.54,-1.18,3.595,NA,NA
10.955,25277,25127,24.17,-1.17,3.478,NA,NA
11.055,25394,25249,24.61,-1.28,3.618,NA,NA
11.155,25508,25368,23.8,-1.23,3.364,NA,NA
11.255,25620,25485,24.97,-1.18,3.737,NA,NA
11.355,25729,25600,24.93,-1.24,3.725,NA,NA
11.455,25835,25711,23.92,-1.09,3.401,3.39,0.02
11.555,25938,25820,25.05,-1.31,3.766,NA,NA
11.655,26038,25926,24.8,-1.09,3.68,NA,NA
11.755,26135,26029,24.43,-1.35,3.561,NA,NA
11.855,26230,26130,23.97,-1.29,3.416,NA,NA
11.955,26325,26232,23.62,-1.09,3.31,NA,NA
12.055,26421,26333,23.97,-1.25,3.417,3.49,0.33
