depth (m),age (BP),temperature (degC),d18O (permil),planktic.MgCa (permil),temperature (mmol_mol)
0.02,1200,24.1,-1.58,3.14,2.467
0.06,1700,24.8,-1.43,3.26,2.635
0.08,2000,24.4,-1.46,3.28,2.539
0.1,2300,23.9,-1.63,3.41,2.416
0.12,2600,24.6,-1.27,3.03,2.576
0.16,3100,23.6,-1.35,3.43,2.347
0.18,3400,24.3,-1.4,3.33,2.502
0.2,3700,23.6,-1.46,3.2,2.36
0.22,4000,24.2,-1.5,3.23,2.493
0.26,4500,24,-1.31,3.26,2.443
0.28,4800,24.4,-1.32,3.39,2.538
0.3,5000,24,-1.63,2.91,2.448
0.32,5300,24.6,-2,3.28,2.587
0.36,5800,24,-1.51,3.01,2.435
0.38,6100,24.3,-1.67,2.9,2.517
0.4,6300,23.9,-1.59,3.06,2.43
0.42,6600,24,-1.66,2.8,2.446
0.46,7100,24.4,-1.67,3.05,2.534
0.48,7300,24.3,-1.81,3.16,2.517
0.5,7600,24.4,-1.59,3.22,2.523
0.52,7800,24.4,-1.39,3.27,2.537
0.56,8300,24.8,-1.03,3.48,2.624
0.58,8500,24.1,-1.28,3.59,2.47
0.6,8800,24.2,-1.12,3.48,2.478
0.62,9000,24.3,-1.27,3.41,2.507
0.66,9500,24.8,-1.24,3.31,2.618
0.68,9700,24.4,-1.26,3.66,2.532
0.7,9900,24.7,-1.41,3.6,2.605
0.72,10200,25.2,-1.33,3.55,2.72
0.76,10600,24.8,-1.04,3.76,2.615
0.78,10800,24.5,-0.92,3.66,2.557
0.8,11100,24.7,-0.97,3.8,2.599
0.82,11300,25.6,-0.99,3.67,2.815
0.86,11700,24.8,-0.58,4.06,2.636
0.88,12000,24.4,-0.24,4.02,2.543
0.9,12200,24,-0.67,4.02,2.445
0.92,12400,24,-0.66,4.09,2.452
0.96,12800,24,-0.63,4.1,2.432
0.98,13000,23.7,-0.19,4.17,2.373
1,13200,24.2,-0.4,4.21,2.488
1.02,13500,24.1,-0.58,4.21,2.456
1.06,13900,23.9,-0.6,4.15,2.412
1.08,14100,24.6,-0.42,4.28,2.57
1.1,14300,24.3,-0.83,4.19,2.499
1.12,14500,23.2,-0.79,4.23,2.273
1.16,14900,24.7,-0.56,4.42,2.613
1.18,15100,24.1,-0.19,4.39,2.47
1.2,15300,24.2,-0.31,4.52,2.489
1.22,15500,24.3,-0.18,4.62,2.51
1.26,15900,24.2,-0.39,4.6,2.497
1.28,16100,24.4,-0.09,4.68,2.535
1.3,16300,23.5,-0.21,4.72,2.337
1.32,16500,23.9,-0.44,4.55,2.428
1.36,16900,23.2,-0.17,4.75,2.28
1.38,17100,22,0.13,4.65,2.04
1.4,17300,22.9,-0.05,4.6,2.21
1.42,17500,23.6,-0.1,4.65,2.351
1.44,17700,23.4,-0.21,4.51,2.32
1.46,17900,23.9,-0.18,4.62,2.415
1.48,18100,23.4,-0.24,4.82,2.313
1.5,18200,22.8,-0.39,4.87,2.193
1.52,18400,22.6,-0.4,4.91,2.162
1.54,18600,23.2,-0.17,4.81,2.27
1.56,18800,22.5,-0.06,4.61,2.143
1.58,19000,22.5,-0.28,4.73,2.138
1.6,19200,22.7,-0.17,4.68,2.175
1.62,19400,21.7,0.14,5.12,1.987
1.64,19600,23,-0.06,4.79,2.232
1.66,19800,21.4,0.15,4.68,1.936
1.68,20000,22.5,0.01,4.74,2.129
1.7,20100,22.6,-0.06,4.9,2.154
1.72,20300,21.8,-0.39,4.79,2.009
1.74,20500,22.6,-0.2,4.76,2.153
1.76,20700,22.9,-0.19,4.94,2.206
1.78,20900,23.4,-0.39,4.82,2.319
1.8,21100,22.8,-0.18,4.88,2.193
1.82,21300,22.8,-0.13,4.95,2.183
1.84,21500,22.1,-0.16,NA,2.065
1.86,21700,23.1,-0.07,4.85,2.257
1.88,21800,22.3,0.11,4.76,2.088
1.9,22000,21.9,0.03,4.76,2.029
1.92,22200,21.7,0.23,4.56,1.987
1.94,22400,21.7,-0.04,4.43,1.989
1.96,22600,22.2,-0.06,4.79,2.083
1.98,22800,22.1,-0.33,4.91,2.05
2,23000,22.9,-0.48,4.82,2.203
2.02,23100,22.6,-0.51,4.7,2.152
2.04,23300,23.3,-0.51,4.84,2.294
2.06,23500,23.7,-0.5,NA,2.369
2.08,23700,23.5,-0.63,4.68,2.343
2.1,23900,23.4,-0.26,4.64,2.324
2.12,24100,23.5,-0.44,4.7,2.344
2.14,24300,22.5,-0.44,4.59,2.135
2.16,24500,23.2,-0.41,4.64,2.272
2.18,24700,22.7,-0.13,4.88,2.168
2.2,24800,22.7,-0.07,4.39,2.181
2.21,24900,22,-0.36,4.59,2.035
2.23,25100,22.3,-0.15,NA,2.101
2.25,25300,22.6,-0.31,4.71,2.159
2.27,25500,21.7,-0.31,4.74,1.981
2.29,25700,22.7,-0.22,4.66,2.181
2.31,25900,22.1,-0.18,4.8,2.057
2.33,26100,22.6,-0.66,4.63,2.162
2.35,26300,23.9,-0.32,4.62,2.429
2.37,26500,22.4,-0.36,4.72,2.115
2.39,26700,21.9,-0.47,4.69,2.03
2.41,26900,22.2,-0.59,4.64,2.082
2.43,27100,22,-0.45,4.59,2.045
2.45,27300,22,-0.69,4.74,2.043
2.47,27500,21.9,-0.29,4.72,2.016
2.49,27600,21.8,-0.17,4.48,2.007
2.51,27800,22.3,-0.33,4.7,2.101
2.53,28000,22.3,-0.13,4.48,2.103
2.55,28200,22.7,-0.39,4.58,2.171
2.57,28400,23.2,-0.56,4.67,2.274
2.59,28600,22.5,-0.55,4.52,2.141
2.61,28800,22.7,-0.22,4.56,2.168
2.63,29000,21.5,-0.23,4.43,1.954
2.65,29300,22.6,-0.56,4.38,2.159
2.67,29500,23.6,-0.27,4.49,2.35
2.69,29700,22.3,-0.18,4.55,2.093
2.71,29900,22.5,-0.2,4.4,2.133
2.73,30100,22.5,-0.5,4.71,2.143
2.75,30300,21.9,-0.27,4.47,2.024
2.77,30500,22.7,-0.38,4.44,2.172
2.79,30700,22.7,-0.57,4.54,2.164
2.81,30900,22.2,-0.56,4.47,2.072
2.83,31100,22.9,-0.39,4.5,2.205
2.85,31300,23.3,-0.83,4.37,2.287
2.87,31600,23.4,-0.43,4.53,2.315
2.89,31800,22.3,-0.32,4.42,2.103
2.91,32000,23.1,-0.41,4.57,2.251
2.93,32200,23.2,-0.58,4.27,2.283
2.95,32400,23,-0.48,4.41,2.237
2.97,32600,23.1,-0.87,4.58,2.253
2.99,32900,21.9,-0.8,4.43,2.026
3.01,33100,23.4,-0.75,4.33,2.319
3.03,33300,23,-0.84,4.09,2.234
3.05,33500,22.8,-0.66,4.23,2.186
3.07,33800,21.4,-0.84,3.91,1.931
3.09,34000,22.5,-0.74,4.24,2.125
3.11,34200,22.5,-0.83,4.4,2.132
3.13,34400,23.6,-0.68,4.24,2.347
3.15,34700,22.6,-0.7,4.32,2.162
3.17,34900,22.7,-0.82,4.49,2.175
3.19,35100,22.6,-0.5,4.34,2.145
3.21,35400,23.1,-0.54,4.38,2.243
3.23,35600,23,-0.78,4.27,2.236
3.25,35900,23.2,-0.69,4.23,2.278
3.27,36100,23.1,-0.46,4.19,2.258
3.29,36300,23.6,-0.74,4.27,2.354
3.31,36600,22.9,-0.53,4.22,2.218
3.33,36800,23.6,-0.8,4.23,2.352
3.35,37100,23.6,-0.36,4.27,2.363
3.37,37300,23.1,-0.66,4.3,2.253
3.39,37600,22.5,-0.67,4.33,2.13
3.41,37800,23,-0.48,4.25,2.237
3.43,38100,22.6,-0.52,4.39,2.154
3.45,38400,22,-0.44,4.29,2.031
3.47,38600,21.8,-0.51,4.18,1.999
3.49,38900,21.9,-0.49,4.35,2.014
3.51,39100,21.6,-0.54,4.51,1.97
3.53,39400,22.4,-0.54,4.26,2.116
3.55,39700,22.4,-0.7,4.48,2.112
3.57,39900,22.9,-0.67,4.41,2.22
3.59,40200,21.4,-0.45,4.34,1.94
3.61,40500,21.9,-0.43,4.6,2.019
3.63,40700,21.7,-0.59,4.46,1.984
3.65,41000,22.2,-0.67,4.44,2.071
3.67,41300,22.4,-0.65,4.41,2.108
3.69,41600,22.2,-0.59,4.46,2.07
3.71,41900,21.9,-0.6,4.18,2.025
3.73,42200,22.4,-0.61,4.36,2.12
3.75,42400,22.9,-0.69,4.45,2.217
3.77,42700,22.7,-0.59,4.27,2.18
3.79,43000,22.6,-0.85,4.34,2.161
3.81,43300,22.9,-0.62,4.52,2.207
3.83,43600,22.1,-0.61,4.52,2.051
3.85,43900,22.8,-0.85,4.22,2.185
3.87,44200,23.4,-0.73,4.21,2.317
3.89,44500,22.6,-0.58,4.14,2.145
3.91,44800,22.6,-0.71,4.31,2.147
3.93,45100,23.6,-0.64,4.26,2.346
3.95,45400,23.1,-0.99,4.4,2.246
3.97,45700,23.9,-0.73,4.17,2.414
3.99,46100,23.1,-0.94,4.18,2.246
4.01,46500,23.2,-0.57,4.23,2.263
4.03,46700,23.4,-0.48,4.32,2.313
4.05,46900,22.6,-0.78,4.35,2.15
4.07,47200,23.4,-0.4,4.43,2.315
4.09,47400,23.6,-0.88,4.18,2.366
4.11,47600,23.4,-0.89,4.35,2.309
4.13,47900,23.4,-0.61,4.33,2.318
4.15,48100,23,-1.01,4.27,2.232
4.17,48300,22.5,-0.97,4.2,2.143
4.19,48500,22.6,-0.73,4.14,2.161
4.21,48800,23.2,-0.89,4.16,2.268
4.23,49000,22.8,-0.85,4.17,2.192
4.25,49200,22.6,-0.77,4.06,2.154
4.27,49500,23,-0.81,4.28,2.229
4.29,49700,22.8,-0.6,4.19,2.184
4.31,49900,22.5,-0.45,NA,2.131
4.33,50200,22.6,-0.6,4.23,2.144
4.35,50400,22.7,-0.64,4.47,2.166
4.37,50600,22.4,-0.81,4.3,2.115
4.39,50900,23.6,-0.76,4.19,2.356
4.41,51100,23.2,-0.54,4.39,2.264
4.43,51300,23.1,-0.74,4.44,2.248
4.45,51600,23.3,-0.78,4.23,2.294
4.47,51800,23.5,-0.9,4.31,2.337
4.49,52000,23.2,-0.83,4.21,2.269
4.51,52200,22.9,-0.94,NA,2.221
4.53,52500,23.3,-0.75,NA,2.295
4.55,52700,21.9,-0.73,4.34,2.024
4.57,52900,21.9,-0.76,4.32,2.019
4.59,53200,22.5,-0.85,4.2,2.139
4.61,53400,22.8,-0.8,4.28,2.19
4.63,53600,23,-0.77,4.25,2.236
4.65,53900,22.7,-0.67,4.21,2.17
4.67,54100,24,-0.88,4.29,2.442
4.69,54300,23.8,-0.71,4.28,2.397
4.71,54600,22.7,-0.7,4.23,2.165
4.73,54800,23,-0.7,4.26,2.224
4.75,55000,22.2,-0.56,4.29,2.07
4.77,55200,23,-0.59,4.27,2.229
4.79,55500,22.6,-0.55,4.39,2.161
4.81,55700,22.3,-0.71,4.28,2.103
4.83,55900,22.8,-0.59,4.28,2.185
4.85,56200,22.8,-0.83,4.38,2.197
4.87,56400,22.5,-0.4,4.53,2.131
4.89,56600,21.8,-0.45,4.42,2.008
4.91,56900,22.3,-0.59,4.37,2.098
4.93,57100,22.5,-0.4,4.38,2.142
4.95,57300,22.6,-0.59,4.29,2.149
4.97,57600,22.3,-0.72,4.31,2.101
4.99,57800,22.3,-0.74,4.38,2.088
5.01,58000,22.1,-0.64,4.33,2.059
5.03,58300,22.5,-0.63,4.26,2.132
5.05,58500,22.6,-0.76,4.28,2.155
5.07,58700,22.2,-0.62,4.32,2.071
5.09,58900,23,-0.52,4.27,2.233
5.11,59200,23,-0.96,4.28,2.23
5.13,59400,22.4,-0.63,4.24,2.123
5.15,59600,22.8,-0.74,4.27,2.194
5.17,59900,23.4,-0.51,4.27,2.31
5.19,60100,23.9,-0.73,4.26,2.411
5.21,60300,22.7,-0.66,4.35,2.176
5.23,60600,23,-0.7,4.2,2.232
5.25,60800,22.7,-0.58,4.28,2.166
5.27,61000,23.5,-0.38,4.3,2.33
5.29,61300,23.4,-0.38,4.37,2.304
5.31,61500,22.3,-0.38,4.25,2.093
5.33,61700,22.5,-0.53,4.25,2.138
5.35,61900,23.3,-0.32,4.4,2.293
5.37,62200,21.7,-0.1,4.34,1.981
5.39,62400,22.7,-0.42,4.31,2.182
5.41,62600,22.9,-0.53,NA,2.213
5.43,62900,22.1,-0.35,4.38,2.063
5.45,63100,22.3,-0.31,4.31,2.09
5.47,63300,22.9,-0.32,4.3,2.204
5.49,63600,23,-0.44,4.51,2.228
5.51,63800,23.2,-0.51,4.48,2.278
5.53,64000,22.2,-0.52,4.42,2.074
5.55,64300,23.1,-0.45,4.48,2.247
5.57,64500,22.5,-0.41,4.49,2.142
5.59,64700,23,-0.44,4.35,2.229
5.61,65000,NA,-0.48,4.38,NA
5.63,65200,21.6,-0.55,4.51,1.965
5.65,65400,22.7,-0.44,4.53,2.166
5.67,65600,21.7,-0.75,4.4,1.983
5.69,65900,22.4,-0.46,4.45,2.112
5.71,66100,22.2,-0.75,4.54,2.078
5.73,66300,21.5,-0.91,4.28,1.958
5.75,66600,NA,-0.8,4.09,NA
5.77,66800,22.9,-0.66,4.37,2.219
5.79,67000,NA,-0.8,4.42,NA
5.81,67300,22.3,-0.51,4.51,2.092
5.83,67500,22,-0.77,4.4,2.032
5.85,67700,23.1,-0.87,4.19,2.252
5.87,68000,21.8,-0.68,4.17,2.012
5.89,68200,22.5,-0.68,4.52,2.131
5.91,68400,22.7,-0.72,4.24,2.177
5.93,68700,22.4,-0.71,4.25,2.12
5.95,68900,22.6,-0.62,4.32,2.157
5.97,69100,NA,-0.77,4.43,NA
5.99,69300,21.7,-0.82,4.39,1.979
6.01,69600,22.3,-0.73,4.3,2.097
6.03,69800,22,-0.79,4.34,2.048
6.05,70000,23.5,-0.8,4.34,2.328
6.07,70300,22.4,-0.65,4.38,2.114
6.09,70500,22.7,-0.73,4.32,2.179
6.11,70800,22.6,-0.97,4.11,2.15
6.13,71200,21.8,-0.86,4.19,2.001
6.15,71500,22.8,-1.08,4.08,2.199
6.17,71900,23.3,-1.2,4.13,2.284
6.19,72200,22.9,-0.86,4.19,2.213
6.21,72600,23,-0.64,3.97,2.232
6.23,72900,NA,-0.65,4.02,NA
6.25,73300,NA,-1.01,4.11,NA
6.27,73600,23.3,NA,4.18,2.284
6.29,74000,22.8,-0.9,4.11,2.195
6.31,74300,22.9,-0.82,4.15,2.222
6.33,74700,22.5,-1.3,3.98,2.126
6.35,75000,23.4,-1.12,4.1,2.304
6.37,75300,23.8,-1.03,4.03,2.397
6.39,75700,23.3,-1.09,4.1,2.284
6.41,76000,23.3,-0.74,4.1,2.283
6.43,76400,23,-1.11,4.18,2.227
6.45,76700,22.6,-0.79,4.04,2.158
6.47,77100,23.3,-0.98,4.14,2.295
6.49,77400,22.7,-0.99,4.08,2.167
6.51,77800,23.3,-1.08,4.1,2.302
6.53,78100,22.4,-1.32,3.88,2.122
6.55,78500,23.2,-1.2,3.96,2.267
6.57,78800,22.6,-1.01,3.86,2.145
6.59,79200,23.4,-1.24,3.87,2.315
6.61,79500,23.2,-1.14,4.01,2.269
6.63,79800,23.8,-1.17,3.84,2.395
6.65,80200,23.1,-1.32,3.73,2.243
6.67,80500,23.3,-1.16,3.83,2.294
6.69,80900,23.6,-1.34,3.92,2.352
6.71,81200,23.9,-1.42,3.8,2.431
6.73,81600,24.3,-1.13,3.91,2.506
6.75,81900,24,-1.45,3.89,2.446
6.77,82300,23.9,-1.05,3.79,2.422
6.79,82600,24.4,-1.26,3.76,2.539
6.81,83000,23.7,-1.14,3.73,2.382
6.83,83300,24.8,-1.37,3.83,2.618
6.85,83600,23.7,-1.5,3.74,2.386
6.87,84000,24,-1.23,3.78,2.439
6.89,84300,23.4,-1.16,3.89,2.304
6.91,84700,23.6,-0.94,3.58,2.363
6.93,85000,NA,-1.11,3.89,NA
6.95,85400,23.4,-1.39,3.9,2.315
6.97,85700,22.8,NA,4.07,2.189
6.99,86100,22.1,-1.02,4.09,2.059
7.01,86400,22.8,-1.1,4.07,2.184
7.03,86800,22.5,-0.81,4.03,2.132
7.05,87100,NA,-0.96,4.14,NA
7.07,87500,23.4,-0.92,4.23,2.318
7.09,87800,22.8,-1.18,4.12,2.194
7.11,88300,NA,-1.08,3.99,NA
7.13,88900,23,NA,3.94,2.224
7.15,89400,NA,-1.22,3.9,NA
7.17,89900,23.6,-1.11,3.95,2.363
7.19,90500,23.5,-0.96,3.87,2.341
7.21,91000,24.4,-0.94,3.98,2.53
7.23,91500,22.6,-0.84,3.77,2.144
7.25,92100,23,-1.15,3.87,2.239
7.27,92600,NA,-0.93,3.92,NA
7.29,93100,22.4,-1.24,3.84,2.123
7.31,93700,23.5,-1.21,3.89,2.327
7.33,94200,24,-1.31,3.78,2.452
7.35,94800,23.8,NA,3.86,2.406
7.37,95300,23.7,-1.35,3.76,2.388
7.39,95800,23.2,-1.47,3.77,2.281
7.41,96400,24,-1.18,3.83,2.442
7.43,96900,23.8,-1.5,3.95,2.4
7.45,97400,23.9,-1.52,3.82,2.411
7.47,98000,23.9,-1.44,3.81,2.426
7.49,98500,24.1,-1.55,3.83,2.462
7.51,99000,23.5,-1.48,3.81,2.338
7.53,99600,24.1,-1.46,3.84,2.461
7.55,100100,23.5,-1.48,3.92,2.326
7.57,100600,24.1,-1.59,3.92,2.47
7.59,101200,24.5,-1.46,3.89,2.552
7.61,101700,24.2,-1.45,3.81,2.489
7.63,102200,23.5,-1.56,3.99,2.335
7.65,102800,23.8,-1.44,3.81,2.41
7.67,103300,25,-1.53,3.93,2.683
7.69,103800,23.8,-1.34,3.69,2.392
7.71,104400,23.8,-1.18,4.01,2.39
7.73,104900,24.5,-1.13,3.97,2.55
7.75,105400,23.4,-1.54,3.83,2.32
7.77,106000,24.2,-1.5,3.67,2.491
7.79,106500,23.6,-1.42,3.74,2.357
7.81,107100,24.9,-1.45,3.97,2.657
7.83,107600,24.3,-1.62,3.87,2.511
7.85,108100,24.2,-1.44,3.78,2.484
7.87,108700,22.8,-1.45,3.87,2.201
7.89,109200,24.7,-1.65,3.87,2.609
7.91,109700,23.8,-1.24,3.82,2.391
7.93,110300,24.4,-1.3,NA,2.543
7.95,110800,NA,-1.51,3.89,NA
7.97,111300,24.9,-1.35,3.79,2.65
7.99,111900,25.4,-1.65,3.64,2.782
8.01,112400,23.5,NA,3.6,2.342
8.03,113000,23.9,-1.55,3.42,2.431
8.05,113500,23.8,-1.6,3.47,2.396
8.07,114100,24.6,-1.89,3.47,2.567
8.09,114700,24.7,-1.7,3.37,2.611
8.11,115200,24.7,-1.82,3.36,2.59
8.13,115800,25.4,-1.44,3.42,2.779
8.15,116300,25.5,-1.68,3.48,2.804
8.17,116900,24.7,-1.83,3.66,2.605
8.19,117500,24.1,-1.64,3.24,2.456
8.21,118000,25.2,-1.45,3.25,2.726
8.23,118600,25.4,-1.74,3.23,2.781
8.25,119200,25.4,-2.14,3.18,2.783
8.27,119700,25,-1.57,3.22,2.679
8.29,120300,26.5,-2.02,3.18,3.053
8.31,120900,26.3,-1.84,3.26,3.013
8.33,121400,25.9,-1.87,3.35,2.908
8.35,122000,26.3,-2,3.14,3.016
8.37,122500,25.6,-1.9,3.14,2.828
8.39,123100,26.3,-1.86,NA,2.994
8.41,123700,26.5,-2.15,3.07,3.061
8.43,124200,25.8,-2.07,3.45,2.867
8.45,124800,25.5,-2.07,3.17,2.802
8.47,125400,26.7,-1.93,3.27,3.104
8.49,125900,26.4,-1.96,3.21,3.021
8.51,126500,27,-1.75,3.15,3.189
8.53,127100,28.1,-1.44,3.32,3.527
8.55,127600,27.2,-1.41,3.39,3.259
8.57,128200,27,-1.41,3.37,3.208
8.59,128700,26.9,-1.31,3.56,3.16
8.61,129300,26.8,-1.43,3.63,3.154
8.63,129900,27.2,-1.24,3.89,3.251
8.65,130400,26.2,-1.14,4.03,2.988
8.67,131000,25.5,-0.82,4.17,2.806
8.69,131600,26.6,-1.15,4.09,3.077
8.71,132100,26.1,-1.37,3.97,2.953
8.73,132700,24.6,-1.14,4.1,2.58
8.75,133300,25.5,-1.39,3.67,2.805
8.77,133800,25.6,-1.72,3.97,2.818
8.79,134400,25.4,-0.91,4.26,2.779
8.815,135100,24.9,-0.16,4.51,2.642
