d18O (permil),year (AD),depth (cm),core (),depth (cm),d18O (permil),depth (cm)
1.53,1985,NA,JM97-948/2A,NA,1.98,1.25
1.28,1980,NA,JM97-948/2A,NA,2.1,1.75
1.45,1975,NA,JM97-948/2A,NA,2.15,2.25
1.4,1970,NA,JM97-948/2A,NA,1.95,2.75
1.37,1965,NA,JM97-948/2A,NA,2.04,3.25
1.33,1960,NA,JM97-948/2A,NA,2.1,3.75
1.33,1955,NA,JM97-948/2A,NA,2.17,4.25
1.42,1951,NA,JM97-948/2A,NA,2.13,4.75
1.49,1943,NA,JM97-948/2A,NA,2.17,5.75
1.45,1940,NA,JM97-948/2A,NA,2.02,6.25
1.4,1937,NA,JM97-948/2A,NA,2.12,6.75
1.56,1934,NA,JM97-948/2A,NA,2.29,7.25
1.52,1932,NA,JM97-948/2A,NA,2.18,7.75
1.44,1930,NA,JM97-948/2A,NA,2.06,8.25
1.43,1928,NA,JM97-948/2A,NA,1.88,8.75
1.55,1925,NA,JM97-948/2A,NA,2.49,9.25
1.71,1923,NA,JM97-948/2A,NA,2.31,9.75
1.52,1905,NA,JM97-948/2A,NA,2.22,10.75
1.36,1889,NA,JM97-948/2A,NA,2.19,11.25
1.79,1873,NA,JM97-948/2A,NA,2.22,11.75
1.72,1857,NA,JM97-948/2A,NA,2.21,12.25
1.48,1841,NA,JM97-948/2A,NA,2.29,12.75
1.27,1825,NA,JM97-948/2A,NA,2.22,13.25
1.57,1809,NA,JM97-948/2A,NA,2.25,13.75
1.21,1793,NA,JM97-948/2A,NA,2.14,14.25
1.33,1777,NA,JM97-948/2A,NA,2.13,14.75
1.39,1745,NA,JM97-948/2A,NA,2.04,15.75
1.38,1728,NA,JM97-948/2A,NA,2.24,16.25
1.46,1712,NA,JM97-948/2A,NA,2.16,16.75
1.52,1696,NA,JM97-948/2A,NA,2.26,17.25
1.54,1680,NA,JM97-948/2A,NA,2.18,17.75
1.33,1664,NA,JM97-948/2A,NA,2.24,18.25
1.43,1648,NA,JM97-948/2A,NA,2.02,18.75
1.43,1632,NA,JM97-948/2A,NA,2.13,19.25
1.69,1616,NA,JM97-948/2A,NA,2.1,19.75
1.25,1600,NA,JM97-948/2A,NA,NA,20.25
1.14,1584,NA,JM97-948/2A,NA,2.24,20.75
1.59,1568,NA,JM97-948/2A,NA,2.22,21.25
1.44,1552,NA,JM97-948/2A,NA,2.29,21.75
1.63,1545,NA,JM97-948/2A,NA,2.1,22.25
1.22,1537,NA,JM97-948/2A,NA,2,22.75
1.51,1530,NA,JM97-948/2A,NA,2.24,23.25
1.35,1523,NA,JM97-948/2A,NA,2.08,23.75
1.32,1516,NA,JM97-948/2A,NA,2.16,24.25
2.15,1508,NA,JM97-948/2A,NA,2.25,24.75
1.43,1494,NA,JM97-948/2A,NA,2.09,25.75
1.3,1486,NA,JM97-948/2A,NA,1.93,26.25
1.49,1479,NA,JM97-948/2A,NA,2.3,26.75
1.15,1472,NA,JM97-948/2A,NA,2.04,27.25
1.34,1465,NA,JM97-948/2A,NA,1.85,27.75
1.25,1457,NA,JM97-948/2A,NA,2.31,28.25
1.28,1450,NA,JM97-948/2A,NA,2.09,28.75
1.46,1443,NA,JM97-948/2A,NA,2.04,29.25
1.2,1436,NA,JM97-948/2A,NA,2.17,29.75
1.28,1425,NA,MD95-2011,NA,1.79,3.5
1.33,1421,NA,MD95-2011,NA,2.38,4.5
1.82,1417,NA,MD95-2011,NA,2.68,5.5
1.41,1414,NA,MD95-2011,NA,2.15,6.5
1.58,1410,NA,MD95-2011,NA,2.11,7.5
1.53,1406,NA,MD95-2011,NA,1.76,8.5
1.5,1403,NA,MD95-2011,NA,1.78,9.5
1.23,1399,NA,MD95-2011,NA,1.63,10.5
1.25,1395,NA,MD95-2011,NA,1.58,11.5
1.17,1392,NA,MD95-2011,NA,1.81,12.5
1.33,1388,NA,MD95-2011,NA,2.21,13.5
1.26,1384,NA,MD95-2011,NA,1.71,14.5
1.06,1380,NA,MD95-2011,NA,2.01,15.5
1.21,1377,NA,MD95-2011,NA,2.03,16.5
1.23,1373,NA,MD95-2011,NA,1.78,17.5
1.35,1369,NA,MD95-2011,NA,1.9,18.5
0.98,1366,NA,MD95-2011,NA,1.98,19.5
1.54,1362,NA,MD95-2011,NA,2.1,20.5
1.51,1358,NA,MD95-2011,NA,1.92,21.5
1.25,1355,NA,MD95-2011,NA,2.04,22.5
1.32,1351,NA,MD95-2011,NA,1.98,23.5
1.06,1347,NA,MD95-2011,NA,1.77,24.5
1.05,1343,NA,MD95-2011,NA,1.74,25.5
1.27,1340,NA,MD95-2011,NA,1.99,26.5
1.29,1336,NA,MD95-2011,NA,1.76,27.5
1.44,1332,NA,MD95-2011,NA,1.98,28.5
1.34,1329,NA,MD95-2011,NA,1.86,29.5
1.32,1325,NA,MD95-2011,NA,2.02,30.5
1.14,1321,NA,MD95-2011,NA,1.91,31.5
1.16,1317,NA,MD95-2011,NA,2.18,32.5
1.1,1314,NA,MD95-2011,NA,1.82,33.5
1.41,1310,NA,MD95-2011,NA,1.96,34.5
1.15,1306,NA,MD95-2011,NA,2.22,35.5
1.28,1302,NA,MD95-2011,NA,1.86,36.5
1.3,1299,NA,MD95-2011,NA,2.08,37.5
1.45,1295,NA,MD95-2011,NA,1.66,38.5
1.06,1291,NA,MD95-2011,NA,1.99,39.5
1.33,1284,NA,MD95-2011,NA,1.81,41.5
1.23,1280,NA,MD95-2011,NA,1.96,42.5
1.24,1276,NA,MD95-2011,NA,2.03,43.5
1.1,1272,NA,MD95-2011,NA,1.81,44.5
1.07,1269,NA,MD95-2011,NA,1.58,45.5
1.19,1265,NA,MD95-2011,NA,1.89,46.5
0.92,1261,NA,MD95-2011,NA,1.68,47.5
1.33,1248,NA,MD95-2011,NA,NA,48.5
1.32,1235,NA,MD95-2011,NA,1.92,49.5
1.3,1222,NA,MD95-2011,NA,1.61,50.5
1.26,1209,NA,MD95-2011,NA,1.98,51.5
1.4,1196,NA,MD95-2011,NA,1.91,52.5
1.38,1183,NA,MD95-2011,NA,1.95,53.5
1.14,1170,NA,MD95-2011,NA,1.98,54.5
0.99,1157,NA,MD95-2011,NA,1.89,55.5
1.43,1144,NA,MD95-2011,NA,2.05,56.5
1.37,1131,NA,MD95-2011,NA,2.04,57.5
1.32,1118,NA,MD95-2011,NA,1.97,58.5
1.37,1106,NA,MD95-2011,NA,1.86,59.5
1.39,1093,NA,MD95-2011,NA,1.8,60.5
1.55,1080,NA,MD95-2011,NA,2.12,61.5
1.44,1067,NA,MD95-2011,NA,2.04,62.5
1.42,1054,NA,MD95-2011,NA,2.08,63.5
1.55,1041,NA,MD95-2011,NA,1.95,64.5
1.01,1028,NA,MD95-2011,NA,1.84,65.5
1.18,1015,NA,MD95-2011,NA,1.83,66.5
1.1,1002,NA,MD95-2011,NA,1.75,67.5
1.15,989,NA,MD95-2011,NA,2.03,68.5
0.99,976,NA,MD95-2011,NA,1.84,69.5
1.06,963,NA,MD95-2011,NA,2.17,70.5
1.32,954,NA,MD95-2011,NA,2.12,71.5
1.13,945,NA,MD95-2011,NA,2.09,72.5
1.32,936,NA,MD95-2011,NA,2.14,73.5
1.27,927,NA,MD95-2011,NA,2.05,74.5
1.27,918,NA,MD95-2011,NA,2.24,75.5
1.38,909,NA,MD95-2011,NA,1.71,76.5
1.44,900,NA,MD95-2011,NA,1.82,77.5
1.25,891,NA,MD95-2011,NA,2.06,78.5
1.32,882,NA,MD95-2011,NA,2.13,79.5
1.41,872,NA,MD95-2011,NA,1.84,80.5
1.27,863,NA,MD95-2011,NA,2.28,81.5
1.46,854,NA,MD95-2011,NA,1.69,82.5
1.37,845,NA,MD95-2011,NA,1.49,83.5
1.19,836,NA,MD95-2011,NA,1.79,84.5
1.32,827,NA,MD95-2011,NA,1.87,85.5
1.36,818,NA,MD95-2011,NA,2.06,86.5
1.25,809,NA,MD95-2011,NA,1.99,87.5
1.15,800,NA,MD95-2011,NA,2.51,88.5
1.18,791,NA,MD95-2011,NA,1.85,89.5
1.35,779,NA,MD95-2011,NA,1.47,90.5
1.49,767,NA,MD95-2011,NA,1.74,91.5
1.4,754,NA,MD95-2011,NA,1.84,92.5
1.48,742,NA,MD95-2011,NA,1.81,93.5
1.38,730,NA,MD95-2011,NA,1.95,94.5
1.5,718,NA,MD95-2011,NA,2.07,95.5
1.3,705,NA,MD95-2011,NA,1.37,96.5
1.18,693,NA,MD95-2011,NA,1.61,97.5
1.05,681,NA,MD95-2011,NA,1.98,98.5
1.11,669,NA,MD95-2011,NA,1.72,99.5
1.08,656,NA,MD95-2011,NA,1.77,100.5
1.42,644,NA,MD95-2011,NA,1.84,101.5
1.54,632,NA,MD95-2011,NA,1.75,102.5
1.41,620,NA,MD95-2011,NA,1.82,103.5
1.34,607,NA,MD95-2011,NA,1.69,104.5
1.29,595,NA,MD95-2011,NA,1.82,105.5
1.4,583,NA,MD95-2011,NA,1.52,106.5
0.79,571,NA,MD95-2011,NA,1.71,107.5
1.28,559,NA,MD95-2011,NA,1.68,108.5
1.25,546,NA,MD95-2011,NA,1.87,109.5
1.26,534,NA,MD95-2011,NA,1.94,110.5
1.47,522,NA,MD95-2011,NA,2.29,111.5
1.38,510,NA,MD95-2011,NA,1.77,112.5
1.4,497,NA,MD95-2011,NA,1.84,113.5
1.23,485,NA,MD95-2011,NA,2.07,114.5
1.34,473,NA,MD95-2011,NA,1.96,115.5
1.69,461,NA,MD95-2011,NA,2.03,116.5
1.58,448,NA,MD95-2011,NA,1.95,117.5
1.54,436,NA,MD95-2011,NA,2.22,118.5
0.74,424,NA,MD95-2011,NA,2.32,119.5
1.06,412,NA,MD95-2011,NA,1.8,120.5
1.14,399,NA,MD95-2011,NA,1.92,121.5
1.13,387,NA,MD95-2011,NA,2.15,122.5
0.79,375,NA,MD95-2011,NA,1.83,123.5
1.2,363,NA,MD95-2011,NA,2.11,124.5
1.08,351,NA,MD95-2011,NA,1.94,125.5
1.21,338,NA,MD95-2011,NA,2.1,126.5
1.17,326,NA,MD95-2011,NA,1.59,127.5
1.28,314,NA,MD95-2011,NA,2.05,128.5
1.43,302,NA,MD95-2011,NA,2,129.5
0.95,289,NA,MD95-2011,NA,NA,130.5
0.89,277,NA,MD95-2011,NA,1.84,131.5
1.23,265,NA,MD95-2011,NA,1.89,132.5
1.17,253,NA,MD95-2011,NA,1.81,133.5
1.12,240,NA,MD95-2011,NA,1.65,134.5
1.25,228,NA,MD95-2011,NA,1.98,135.5
1.09,216,NA,MD95-2011,NA,NA,136.5
1.16,204,NA,MD95-2011,NA,1.96,137.5
1.33,192,NA,MD95-2011,NA,1.92,138.5
1.2,179,NA,MD95-2011,NA,1.28,139.5
1.13,167,NA,MD95-2011,NA,1.75,140.5
1.12,155,NA,MD95-2011,NA,2,141.5
0.83,143,NA,MD95-2011,NA,1.72,142.5
0.75,130,NA,MD95-2011,NA,1.74,143.5
1.09,118,NA,MD95-2011,NA,1.67,144.5
1,106,NA,MD95-2011,NA,1.72,145.5
1.06,94,NA,MD95-2011,NA,1.63,146.5
1.01,81,NA,MD95-2011,NA,1.72,147.5
0.85,69,NA,MD95-2011,NA,2.06,148.5
0.73,57,NA,MD95-2011,NA,1.76,149.5
1.05,45,NA,MD95-2011,NA,NA,150.5
0.98,32,NA,MD95-2011,NA,1.82,151.5
0.92,20,NA,MD95-2011,NA,1.78,152.5
0.99,8,NA,MD95-2011,NA,1.63,153.5
0.89,-14,NA,MD95-2011,NA,1.72,154.5
0.94,-35,NA,MD95-2011,NA,1.69,155.5
0.93,-57,NA,MD95-2011,NA,1.84,156.5
1.15,-78,NA,MD95-2011,NA,1.68,157.5
0.92,-100,NA,MD95-2011,NA,1.97,158.5
0.96,-122,NA,MD95-2011,NA,1.49,159.5
0.97,-143,NA,MD95-2011,NA,1.77,160.5
0.81,-165,NA,MD95-2011,NA,1.69,161.5
1.28,-251,NA,MD95-2011,NA,1.57,165.5
1.06,-273,NA,MD95-2011,NA,1.84,166.5
1,-294,NA,MD95-2011,NA,2.03,167.5
0.99,-316,NA,MD95-2011,NA,1.83,168.5
1.25,-337,NA,MD95-2011,NA,1.6,169.5
1.22,-359,NA,MD95-2011,NA,1.9,170.5
0.99,-374,NA,MD95-2011,NA,1.85,171.5
1.34,-388,NA,MD95-2011,NA,2.14,172.5
0.99,-403,NA,MD95-2011,NA,1.75,173.5
1.23,-418,NA,MD95-2011,NA,1.92,174.5
1.21,-432,NA,MD95-2011,NA,1.9,175.5
1.1,-447,NA,MD95-2011,NA,1.7,176.5
1.28,-462,NA,MD95-2011,NA,1.99,177.5
1.27,-476,NA,MD95-2011,NA,1.92,178.5
1.07,-491,NA,MD95-2011,NA,2.15,179.5
0.7,-506,NA,MD95-2011,NA,NA,180.5
1.22,-521,NA,MD95-2011,NA,1.53,181.5
0.96,-535,NA,MD95-2011,NA,1.78,182.5
0.71,-550,NA,MD95-2011,NA,1.8,183.5
1.11,-565,NA,MD95-2011,NA,1.92,184.5
0.63,-579,NA,MD95-2011,NA,2.1,185.5
0.83,-594,NA,MD95-2011,NA,2.15,186.5
1,-609,NA,MD95-2011,NA,1.9,187.5
1.29,-623,NA,MD95-2011,NA,1.8,188.5
0.56,-638,NA,MD95-2011,NA,2.03,189.5
1.29,-653,NA,MD95-2011,NA,2.09,190.5
1.66,-667,NA,MD95-2011,NA,2.04,191.5
1.52,-682,NA,MD95-2011,NA,2.13,192.5
1.52,-697,NA,MD95-2011,NA,2.22,193.5
1.79,-711,NA,MD95-2011,NA,2.07,194.5
1.34,-726,NA,MD95-2011,NA,2.23,195.5
1.83,-741,NA,MD95-2011,NA,2.08,196.5
1.6,-756,NA,MD95-2011,NA,2.35,197.5
1.71,-770,NA,MD95-2011,NA,2.17,198.5
1.6,-785,NA,MD95-2011,NA,2.31,199.5
1.39,-800,NA,MD95-2011,NA,2.11,200.5
1.29,-814,NA,MD95-2011,NA,1.84,201.5
1.26,-829,NA,MD95-2011,NA,2.14,202.5
1.41,-844,NA,MD95-2011,NA,1.93,203.5
1.1,-858,NA,MD95-2011,NA,1.94,204.5
2.05,-873,NA,MD95-2011,NA,1.91,205.5
1.32,-888,NA,MD95-2011,NA,2.02,206.5
1.33,-902,NA,MD95-2011,NA,1.94,207.5
1.35,-917,NA,MD95-2011,NA,1.95,208.5
1.32,-932,NA,MD95-2011,NA,1.9,209.5
1.24,-946,NA,MD95-2011,NA,2.18,210.5
1.1,-961,NA,MD95-2011,NA,1.74,211.5
1.28,-976,NA,MD95-2011,NA,1.94,212.5
1.14,-991,NA,MD95-2011,NA,1.64,213.5
1.33,-1005,NA,MD95-2011,NA,1.79,214.5
1.43,-1020,NA,MD95-2011,NA,2.08,215.5
1.25,-1035,NA,MD95-2011,NA,1.89,216.5
1.36,-1049,NA,MD95-2011,NA,1.83,217.5
1.51,-1064,NA,MD95-2011,NA,1.75,218.5
1.38,-1079,NA,MD95-2011,NA,2.03,219.5
0.95,-1093,NA,MD95-2011,NA,1.36,220.5
1.13,-1108,NA,MD95-2011,NA,1.6,221.5
1.16,-1123,NA,MD95-2011,NA,1.73,222.5
1.31,-1137,NA,MD95-2011,NA,1.7,223.5
1.22,-1152,NA,MD95-2011,NA,1.58,224.5
0.96,-1167,NA,MD95-2011,NA,1.78,225.5
1.31,-1181,NA,MD95-2011,NA,1.81,226.5
1.36,-1196,NA,MD95-2011,NA,1.94,227.5
1.39,-1211,NA,MD95-2011,NA,1.77,228.5
1.12,-1226,NA,MD95-2011,NA,1.69,229.5
1.36,-1255,NA,MD95-2011,NA,NA,231.5
1.3,-1270,NA,MD95-2011,NA,1.63,232.5
1.33,-1284,NA,MD95-2011,NA,1.6,233.5
1.34,-1299,NA,MD95-2011,NA,1.78,234.5
NA,-1314,NA,MD95-2011,NA,2.12,235.5
1.18,-1328,NA,MD95-2011,NA,1.74,236.5
1.21,-1343,NA,MD95-2011,NA,1.65,237.5
1.15,-1358,NA,MD95-2011,NA,1.84,238.5
1.26,-1372,NA,MD95-2011,NA,1.71,239.5
1.15,-1402,NA,MD95-2011,NA,1.71,241.5
1.11,-1416,NA,MD95-2011,NA,1.73,242.5
1.03,-1431,NA,MD95-2011,NA,1.82,243.5
1.19,-1446,NA,MD95-2011,NA,1.83,244.5
NA,-1461,NA,MD95-2011,NA,2.07,245.5
1.41,-1475,NA,MD95-2011,NA,2.11,246.5
1.13,-1490,NA,MD95-2011,NA,1.83,247.5
1.27,-1505,NA,MD95-2011,NA,1.81,248.5
1.3,-1519,NA,MD95-2011,NA,1.79,249.5
1.46,-1534,NA,MD95-2011,NA,2.02,250.5
1.3,-1549,NA,MD95-2011,NA,1.81,251.5
1.19,-1563,NA,MD95-2011,NA,1.78,252.5
1.16,-1578,NA,MD95-2011,NA,2.18,253.5
1.25,-1593,NA,MD95-2011,NA,2.19,254.5
1.64,-1607,NA,MD95-2011,NA,2.17,255.5
1.34,-1622,NA,MD95-2011,NA,2.17,256.5
1.38,-1637,NA,MD95-2011,NA,2.05,257.5
1.47,-1651,NA,MD95-2011,NA,2.12,258.5
1.39,-1666,NA,MD95-2011,NA,2.14,259.5
1.79,-1681,NA,MD95-2011,NA,2.4,260.5
1.18,-1696,NA,MD95-2011,NA,2.22,261.5
1.29,-1710,NA,MD95-2011,NA,2.17,262.5
1.45,-1725,NA,MD95-2011,NA,2.02,263.5
1.48,-1740,NA,MD95-2011,NA,2.01,264.5
1.59,-1754,NA,MD95-2011,NA,2.62,265.5
1.3,-1769,NA,MD95-2011,NA,2.03,266.5
1.29,-1784,NA,MD95-2011,NA,2.18,267.5
1.33,-1798,NA,MD95-2011,NA,2.05,268.5
1.47,-1813,NA,MD95-2011,NA,2.3,269.5
1.66,-1826,NA,MD95-2011,NA,2.41,270.5
1.39,-1839,NA,MD95-2011,NA,2.1,271.5
1.46,-1852,NA,MD95-2011,NA,2.16,272.5
1.44,-1866,NA,MD95-2011,NA,2.2,273.5
1.46,-1879,NA,MD95-2011,NA,2.05,274.5
1.97,-1892,NA,MD95-2011,NA,2.19,275.5
1.67,-1905,NA,MD95-2011,NA,2.13,276.5
1.81,-1918,NA,MD95-2011,NA,2.2,277.5
1.54,-1931,NA,MD95-2011,NA,2.28,278.5
1.48,-1945,NA,MD95-2011,NA,2.1,279.5
1.83,-1958,NA,MD95-2011,NA,2.24,280.5
1.34,-1971,NA,MD95-2011,NA,2.01,281.5
1.55,-1984,NA,MD95-2011,NA,1.9,282.5
1.42,-1997,NA,MD95-2011,NA,2.17,283.5
1.47,-2010,NA,MD95-2011,NA,1.92,284.5
1.88,-2024,NA,MD95-2011,NA,2.45,285.5
1.45,-2037,NA,MD95-2011,NA,2.09,286.5
1.43,-2050,NA,MD95-2011,NA,1.72,287.5
1.61,-2063,NA,MD95-2011,NA,2.11,288.5
1.45,-2076,NA,MD95-2011,NA,2.19,289.5
1.53,-2089,NA,MD95-2011,NA,2.01,290.5
1.59,-2102,NA,MD95-2011,NA,2.06,291.5
1.25,-2116,NA,MD95-2011,NA,2.05,292.5
1.21,-2129,NA,MD95-2011,NA,1.96,293.5
1.41,-2142,NA,MD95-2011,NA,2,294.5
1.78,-2155,NA,MD95-2011,NA,2.3,295.5
1.4,-2168,NA,MD95-2011,NA,NA,296.5
1.3,-2181,NA,MD95-2011,NA,1.87,297.5
1.38,-2195,NA,MD95-2011,NA,1.81,298.5
1.43,-2208,NA,MD95-2011,NA,2.12,299.5
1.63,-2221,NA,MD95-2011,NA,2.07,300.5
1.22,-2234,NA,MD95-2011,NA,1.98,301.5
1.42,-2247,NA,MD95-2011,NA,2.11,302.5
1.49,-2260,NA,MD95-2011,NA,1.93,303.5
1.46,-2273,NA,MD95-2011,NA,2.12,304.5
1.88,-2287,NA,MD95-2011,NA,2.44,305.5
1.49,-2300,NA,MD95-2011,NA,2.19,306.5
1.66,-2313,NA,MD95-2011,NA,2.25,307.5
1.66,-2326,NA,MD95-2011,NA,2.19,308.5
1.67,-2339,NA,MD95-2011,NA,2.04,309.5
1.75,-2352,NA,MD95-2011,NA,2.27,310.5
1.41,-2366,NA,MD95-2011,NA,1.99,311.5
1.38,-2379,NA,MD95-2011,NA,2.2,312.5
1.59,-2418,NA,MD95-2011,NA,2.47,315.5
1.39,-2549,NA,MD95-2011,NA,2.04,324.5
1.65,-2566,NA,MD95-2011,NA,2.13,325.5
1.39,-2582,NA,MD95-2011,NA,1.99,326.5
1.47,-2598,NA,MD95-2011,NA,2.07,327.5
1.43,-2615,NA,MD95-2011,NA,1.97,328.5
1.36,-2631,NA,MD95-2011,NA,2.03,329.5
1.42,-2647,NA,MD95-2011,NA,2.05,330.5
1.38,-2663,NA,MD95-2011,NA,1.81,331.5
NA,-2680,NA,MD95-2011,NA,1.77,332.5
1.55,-2696,NA,MD95-2011,NA,1.92,333.5
1.29,-2712,NA,MD95-2011,NA,1.97,334.5
1.54,-2729,NA,MD95-2011,NA,2.26,335.5
1.44,-2745,NA,MD95-2011,NA,2.1,336.5
1.59,-2761,NA,MD95-2011,NA,2.22,337.5
1.46,-2778,NA,MD95-2011,NA,1.96,338.5
1.41,-2794,NA,MD95-2011,NA,2.09,339.5
1.58,-2810,NA,MD95-2011,NA,2.21,340.5
1.52,-2827,NA,MD95-2011,NA,NA,341.5
1.38,-2843,NA,MD95-2011,NA,2.09,342.5
1.29,-2859,NA,MD95-2011,NA,2.09,343.5
1.36,-2876,NA,MD95-2011,NA,2.06,344.5
1.58,-2892,NA,MD95-2011,NA,2.35,345.5
1.28,-2908,NA,MD95-2011,NA,2.13,346.5
1.7,-2925,NA,MD95-2011,NA,2.1,347.5
1.64,-2941,NA,MD95-2011,NA,2.12,348.5
1.63,-2957,NA,MD95-2011,NA,2.05,349.5
1.57,-2973,NA,MD95-2011,NA,2.56,350.5
1.59,-2990,NA,MD95-2011,NA,2.26,351.5
1.47,-3006,NA,MD95-2011,NA,2.05,352.5
1.44,-3022,NA,MD95-2011,NA,2.09,353.5
1.37,-3039,NA,MD95-2011,NA,2.06,354.5
