depth (cm),year (AD),notes (),temperature (degC),Mg_Ca (mmol/mol),depth (cm),temperature (degC) [2-1],year (AD) [2-1],Mg_Ca (mmol/mol) [2-1],d18O (permil) [2-1],notes () [2-1],depth (cm) [2-1],d18O (permil) [2-1]
0.5,1998,M200309,12.94,2.31,0.5,12.94,1998,2.31,0.59,M200309,0.5,1.38
1.5,1987,M200309,10.99,1.973,1.5,10.99,1987,1.973,0.07,M200309,1.5,1.34
2.5,1975,M200309,10.53,1.901,2.5,10.53,1975,1.901,-0.08,M200309,2.5,1.31
3.5,1962,M200309,10.44,1.887,3.5,10.44,1962,1.887,0.3,M200309,3.5,1.71
4.5,1949,M200309,11.39,2.038,4.5,11.39,1949,2.038,0.43,M200309,4.5,1.61
5.5,1936,M200309,13.38,2.394,5.5,13.38,1936,2.394,0.63,M200309,5.5,1.31
6.5,1924,M200309,10.1,1.836,6.5,10.1,1924,1.836,-0.25,M200309,6.5,1.25
7.5,1911,M200309,13.34,2.387,7.5,13.34,1911,2.387,0.85,M200309,7.5,1.54
8.5,1898,M200309,13.44,2.406,8.5,13.44,1898,2.406,0.56,M200309,8.5,1.22
9.5,1885,M200309,12.4,2.211,9.5,12.4,1885,2.211,0.15,M200309,9.5,1.08
10.5,1871,M200309,12.85,2.294,10.5,12.85,1871,2.294,0.58,M200309,10.5,1.39
11.5,1835,M200309,13.15,2.349,11.5,13.15,1835,2.349,0.6,M200309,11.5,1.33
12.5,1799,M200309,14.62,2.647,12.5,14.62,1799,2.647,0.88,M200309,12.5,1.25
13.5,1763,M200309,14.14,2.547,13.5,14.14,1763,2.547,1.31,M200309,13.5,1.8
14.5,1727,M200309,12.99,2.32,14.5,12.99,1727,2.32,0.56,M200309,14.5,1.34
15.5,1691,M200309,14.71,2.666,15.5,14.71,1691,2.666,0.78,M200309,15.5,1.13
16.5,1655,M200309,14.46,2.612,16.5,14.46,1655,2.612,0.59,M200309,16.5,1
17.5,1618,M200309,14.23,2.564,17.5,14.23,1618,2.564,0.86,M200309,17.5,1.33
18.5,1582,M200309,13.78,2.472,18.5,13.78,1582,2.472,0.93,M200309,18.5,1.51
0.5,1560,ENAM9606,11.61,2.075,0.5,11.61,1560,2.075,0.15,ENAM9606,0.5,1.28
1.5,1547,ENAM9606,11.95,2.132,1.5,11.95,1547,2.132,0.29,ENAM9606,1.5,1.33
2.5,1535,ENAM9606,12.66,2.258,2.5,12.66,1535,2.258,0.47,ENAM9606,2.5,1.33
3.5,1522,ENAM9606,12.96,2.313,3.5,12.96,1522,2.313,0.53,ENAM9606,3.5,1.31
4.5,1510,ENAM9606,13.19,2.359,4.5,13.19,1510,2.359,0.5,ENAM9606,4.5,1.22
5.5,1497,ENAM9606,11.35,2.032,5.5,11.35,1497,2.032,-0.08,ENAM9606,5.5,1.11
6.5,1485,ENAM9606,11.37,2.035,6.5,11.37,1485,2.035,-0.15,ENAM9606,6.5,1.03
7.5,1472,ENAM9606,12.36,2.204,7.5,12.36,1472,2.204,0.4,ENAM9606,7.5,1.33
8.5,1460,ENAM9606,11.7,2.09,8.5,11.7,1460,2.09,0.26,ENAM9606,8.5,1.36
9.5,1448,ENAM9606,12.19,2.174,9.5,12.19,1448,2.174,0.2,ENAM9606,9.5,1.18
10.5,1436,ENAM9606,12.92,2.307,10.5,12.92,1436,2.307,0.21,ENAM9606,10.5,1.01
11.5,1424,ENAM9606,12.67,2.26,11.5,12.67,1424,2.26,0.08,ENAM9606,11.5,0.93
12.5,1413,ENAM9606,13.45,2.408,12.5,13.45,1413,2.408,0.25,ENAM9606,12.5,0.91
13.5,1401,ENAM9606,14.19,2.556,13.5,14.19,1401,2.556,0.48,ENAM9606,13.5,0.95
14.5,1389,ENAM9606,12.1,2.158,14.5,12.1,1389,2.158,0.09,ENAM9606,14.5,1.09
15.5,1378,ENAM9606,13.25,2.37,15.5,13.25,1378,2.37,0.44,ENAM9606,15.5,1.15
16.5,1366,ENAM9606,14.07,2.532,16.5,14.07,1366,2.532,0.36,ENAM9606,16.5,0.86
17.5,1354,ENAM9606,13.34,2.386,17.5,13.34,1354,2.386,0.42,ENAM9606,17.5,1.11
18.5,1342,ENAM9606,14.56,2.635,18.5,14.56,1342,2.635,0.49,ENAM9606,18.5,0.87
19.5,1329,ENAM9606,12.5,2.229,19.5,12.5,1329,2.229,-0.08,ENAM9606,19.5,0.82
20.5,1317,ENAM9606,13.05,2.331,20.5,13.05,1317,2.331,0.21,ENAM9606,20.5,0.97
21.5,1304,ENAM9606,13.69,2.456,21.5,13.69,1304,2.456,0.56,ENAM9606,21.5,1.16
22.5,1291,ENAM9606,14.49,2.62,22.5,14.49,1291,2.62,0.42,ENAM9606,22.5,0.83
23.5,1277,ENAM9606,13.28,2.375,23.5,13.28,1277,2.375,0.35,ENAM9606,23.5,1.06
24.5,1263,ENAM9606,14.45,2.612,24.5,14.45,1263,2.612,0.51,ENAM9606,24.5,0.92
25.5,1249,ENAM9606,14.34,2.587,25.5,14.34,1249,2.587,0.42,ENAM9606,25.5,0.86
26.5,1234,ENAM9606,12.83,2.29,26.5,12.83,1234,2.29,0.15,ENAM9606,26.5,0.96
27.5,1220,ENAM9606,14.56,2.635,27.5,14.56,1220,2.635,0.61,ENAM9606,27.5,0.99
28.5,1204,ENAM9606,13.91,2.498,28.5,13.91,1204,2.498,0.32,ENAM9606,28.5,0.87
29.5,1188,ENAM9606,13.18,2.356,29.5,13.18,1188,2.356,0.31,ENAM9606,29.5,1.04
30.5,1172,ENAM9606,14,2.518,30.5,14,1172,2.518,0.58,ENAM9606,30.5,1.11
31.5,1156,ENAM9606,15.06,2.744,31.5,15.06,1156,2.744,0.92,ENAM9606,31.5,1.18
32.5,1139,ENAM9606,14.47,2.615,32.5,14.47,1139,2.615,0.65,ENAM9606,32.5,1.05
33.5,1121,ENAM9606,13.59,2.435,33.5,13.59,1121,2.435,0.41,ENAM9606,33.5,1.04
34.5,1103,ENAM9606,14.35,2.589,34.5,14.35,1103,2.589,0.58,ENAM9606,34.5,1.02
35.5,1085,ENAM9606,14.17,2.553,35.5,14.17,1085,2.553,0.75,ENAM9606,35.5,1.23
36.5,1066,ENAM9606,14.04,2.525,36.5,14.04,1066,2.525,0.61,ENAM9606,36.5,1.13
37.5,1047,ENAM9606,12.84,2.292,37.5,12.84,1047,2.292,0.35,ENAM9606,37.5,1.17
38.5,1027,ENAM9606,13.26,2.371,38.5,13.26,1027,2.371,0.35,ENAM9606,38.5,1.06
39.5,1006,ENAM9606,13.58,2.433,39.5,13.58,1006,2.433,0.44,ENAM9606,39.5,1.07
40.5,986,ENAM9606,14.45,2.611,40.5,14.45,986,2.611,0.43,ENAM9606,40.5,0.84
41.5,964,ENAM9606,14.46,2.613,41.5,14.46,964,2.613,0.42,ENAM9606,41.5,0.83
42.5,943,ENAM9606,14.24,2.566,42.5,14.24,943,2.566,0.7,ENAM9606,42.5,1.16
43.5,920,ENAM9606,12.98,2.318,43.5,12.98,920,2.318,0.48,ENAM9606,43.5,1.26
44.5,897,ENAM9606,13.79,2.475,44.5,13.79,897,2.475,0.45,ENAM9606,44.5,1.03
45.5,874,ENAM9606,14.2,2.559,45.5,14.2,874,2.559,0.54,ENAM9606,45.5,1.01
46.5,851,ENAM9606,14.91,2.71,46.5,14.91,851,2.71,0.62,ENAM9606,46.5,0.91
47.5,827,ENAM9606,14.69,2.663,47.5,14.69,827,2.663,0.36,ENAM9606,47.5,0.71
48.5,802,ENAM9606,14.24,2.568,48.5,14.24,802,2.568,0.38,ENAM9606,48.5,0.84
49.5,777,ENAM9606,14.64,2.652,49.5,14.64,777,2.652,0.7,ENAM9606,49.5,1.07
50.5,751,ENAM9606,15.33,2.804,50.5,15.33,751,2.804,0.76,ENAM9606,50.5,0.96
51.5,726,ENAM9606,12.68,2.263,51.5,12.68,726,2.263,0.14,ENAM9606,51.5,1
52.5,699,ENAM9606,13.58,2.434,52.5,13.58,699,2.434,0.33,ENAM9606,52.5,0.96
53.5,672,ENAM9606,13.21,2.361,53.5,13.21,672,2.361,0,ENAM9606,53.5,0.72
54.5,645,ENAM9606,14.19,2.556,54.5,14.19,645,2.556,0.45,ENAM9606,54.5,0.92
55.5,617,ENAM9606,13.95,2.507,55.5,13.95,617,2.507,0.23,ENAM9606,55.5,0.77
56.5,589,ENAM9606,13.63,2.443,56.5,13.63,589,2.443,0.28,ENAM9606,56.5,0.9
57.5,560,ENAM9606,15.03,2.737,57.5,15.03,560,2.737,0.44,ENAM9606,57.5,0.71
58.5,531,ENAM9606,14.62,2.648,58.5,14.62,531,2.648,0.38,ENAM9606,58.5,0.74
59.5,501,ENAM9606,15.22,2.779,59.5,15.22,501,2.779,0.8,ENAM9606,59.5,1.02
60.5,471,ENAM9606,13.62,2.44,60.5,13.62,471,2.44,0.46,ENAM9606,60.5,1.08
61.5,440,ENAM9606,13.48,2.414,61.5,13.48,440,2.414,0.34,ENAM9606,61.5,1
62.5,409,ENAM9606,14.54,2.629,62.5,14.54,409,2.629,0.43,ENAM9606,62.5,0.82
63.5,377,ENAM9606,15.13,2.758,63.5,15.13,377,2.758,0.85,ENAM9606,63.5,1.09
64.5,345,ENAM9606,13.99,2.516,64.5,13.99,345,2.516,0.37,ENAM9606,64.5,0.9
65.5,312,ENAM9606,15.65,2.877,65.5,15.65,312,2.877,0.94,ENAM9606,65.5,1.06
66.5,279,ENAM9606,15.66,2.881,66.5,15.66,279,2.881,1.01,ENAM9606,66.5,1.12
67.5,245,ENAM9606,14.43,2.607,67.5,14.43,245,2.607,0.51,ENAM9606,67.5,0.92
68.5,212,ENAM9606,15.63,2.873,68.5,15.63,212,2.873,0.98,ENAM9606,68.5,1.1
69.5,177,ENAM9606,15.46,2.833,69.5,15.46,177,2.833,0.87,ENAM9606,69.5,1.03
70.5,143,ENAM9606,13.57,2.431,70.5,13.57,143,2.431,0.52,ENAM9606,70.5,1.16
71.5,108,ENAM9606,13.08,2.337,71.5,13.08,108,2.337,0.09,ENAM9606,71.5,0.84
72.5,72,ENAM9606,14.98,2.726,72.5,14.98,72,2.726,0.29,ENAM9606,72.5,0.56
73.5,37,ENAM9606,14.24,2.567,73.5,14.24,37,2.567,0.3,ENAM9606,73.5,0.76
74.5,1,ENAM9606,14.98,2.726,74.5,14.98,1,2.726,0.71,ENAM9606,74.5,0.99
75.5,-36,ENAM9606,13.34,2.386,75.5,13.34,-36,2.386,0.32,ENAM9606,75.5,1.01
76.5,-72,ENAM9606,15.29,2.795,76.5,15.29,-72,2.795,0.8,ENAM9606,76.5,1
77.5,-109,ENAM9606,14.85,2.697,77.5,14.85,-109,2.697,0.48,ENAM9606,77.5,0.8
78.5,-145,ENAM9606,14.62,2.648,78.5,14.62,-145,2.648,0.36,ENAM9606,78.5,0.73
79.5,-182,ENAM9606,15.04,2.74,79.5,15.04,-182,2.74,0.79,ENAM9606,79.5,1.05
80.5,-219,ENAM9606,13.65,2.448,80.5,13.65,-219,2.448,0.07,ENAM9606,80.5,0.68
81.5,-256,ENAM9606,13.81,2.479,81.5,13.81,-256,2.479,0.39,ENAM9606,81.5,0.96
82.5,-294,ENAM9606,14.95,2.719,82.5,14.95,-294,2.719,0.47,ENAM9606,82.5,0.76
83.5,-331,ENAM9606,15.45,2.832,83.5,15.45,-331,2.832,0.94,ENAM9606,83.5,1.1
84.5,-368,ENAM9606,15.64,2.874,84.5,15.64,-368,2.874,0.71,ENAM9606,84.5,0.83
