year (AD),Sample ID (unitless),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
1903.79,627,-4.55,8.91,0.12
1903.67,628,-4.49,8.88,0.29
1903.54,629,-4.61,8.88,0.17
1903.42,630,-4.81,8.83,0.15
1903.29,631,-4.89,8.81,0.12
1903.17,632,-4.87,8.79,0.23
1902.97,633,-4.74,8.86,0.12
1902.77,634,-4.58,8.96,-0.1
1902.57,635,-4.61,8.92,0.01
1902.37,636,-4.68,8.9,0.04
1902.17,637,-4.93,8.81,0.08
1902.02,638,-4.93,8.82,0.07
1901.88,639,-4.81,8.87,0.01
1901.74,640,-4.7,8.92,-0.07
1901.6,641,-4.66,8.95,-0.15
1901.45,642,-4.78,8.86,0.06
1901.31,643,-4.81,8.84,0.12
1901.17,644,-4.76,8.83,0.19
1901,645,-4.85,8.84,0.07
1900.83,646,-4.73,8.86,0.13
1900.67,647,-4.63,8.89,0.1
1900.5,648,-4.57,8.91,0.09
1900.33,649,-4.92,8.84,0.02
1900.17,650,-5.05,8.76,0.17
1899.98,651,-4.79,8.82,0.21
1899.8,652,-4.64,8.88,0.12
1899.62,653,-4.59,8.9,0.11
1899.43,654,-4.6,8.87,0.19
1899.25,655,-4.86,8.87,-0.04
1899.13,656,-4.83,8.91,-0.17
1899.01,657,-4.61,8.93,-0.02
1898.89,658,-4.78,8.87,0.04
1898.77,659,-4.69,8.85,0.18
1898.65,660,-4.6,8.86,0.23
1898.53,661,-4.8,8.84,0.11
1898.41,662,-4.7,8.86,0.15
1898.29,663,-4.73,8.81,0.29
1898.17,664,-4.45,8.78,0.68
1897.94,665,-4.58,8.97,-0.15
1897.71,666,-4.72,8.86,0.11
1897.48,667,-4.88,8.79,0.23
1897.25,668,-4.81,8.75,0.43
1896.96,669,-4.71,8.9,0
1896.67,670,-4.4,8.95,0.13
1896.38,671,-4.77,8.89,-0.04
1896.08,672,-4.81,8.82,0.16
1895.85,673,-4.58,8.87,0.23
1895.63,674,-4.53,8.9,0.16
1895.4,675,-4.35,8.96,0.11
1895.17,676,-4.87,8.88,-0.08
1894.99,677,-4.84,8.89,-0.12
1894.81,678,-4.58,8.96,-0.1
1894.63,679,-4.52,8.99,-0.16
1894.44,680,-4.57,8.93,0.03
1894.26,681,-4.73,8.82,0.25
1894.08,682,-4.93,8.8,0.14
1893.9,683,-4.67,8.9,0.05
1893.72,684,-4.71,8.87,0.1
1893.53,685,-4.79,8.9,-0.1
1893.35,686,-5.18,8.8,-0.12
1893.17,687,-4.91,8.85,-0.01
1892.99,688,-4.96,8.8,0.12
1892.81,689,-4.81,8.84,0.11
1892.63,690,-4.78,8.87,0.02
1892.44,691,-4.95,8.85,-0.06
1892.26,692,-4.81,8.83,0.15
1892.08,693,-4.9,8.8,0.16
1891.92,694,-4.84,8.88,-0.08
1891.75,695,-4.5,8.96,-0.01
1891.58,696,-4.65,8.91,0
1891.42,697,-4.84,8.84,0.07
1891.25,698,-5.08,8.77,0.1
1891.11,699,-4.98,8.79,0.13
1890.98,700,-4.94,8.82,0.06
1890.84,701,-4.53,8.86,0.31
1890.71,702,-4.84,8.86,0.02
1890.57,703,-4.85,8.86,0.01
1890.44,704,-4.96,8.83,-0.01
1890.3,705,-4.92,8.8,0.13
1890.17,706,-4.84,8.8,0.23
1890.02,707,-4.81,8.8,0.25
1889.88,708,-4.84,8.85,0.05
1889.74,709,-4.71,8.9,-0.01
1889.6,710,-4.63,8.91,0.04
1889.45,711,-4.65,8.88,0.12
1889.31,712,-4.93,8.8,0.12
1889.17,713,-4.94,8.75,0.31
1889.04,714,-5.04,8.78,0.11
1888.9,715,-4.73,8.81,0.3
1888.77,716,-4.85,8.85,0.03
1888.64,717,-4.72,8.84,0.19
1888.51,718,-4.63,8.88,0.15
1888.38,719,-4.84,8.8,0.23
1888.25,720,-4.86,8.79,0.24
1888.11,721,-4.91,NA,NA
1887.98,722,-4.93,8.8,0.12
1887.84,723,-4.87,8.87,-0.08
1887.71,724,-4.76,8.91,-0.09
1887.57,725,-4.67,8.89,0.08
1887.44,726,-4.52,8.93,0.08
1887.3,727,-4.79,8.85,0.08
1887.17,728,-4.78,8.78,0.36
1887.06,729,-4.71,8.82,0.3
1886.94,730,-4.65,8.85,0.23
1886.83,731,-4.66,8.91,0
1886.72,732,-4.6,8.94,-0.05
1886.61,733,-4.61,8.93,-0.01
1886.5,734,-4.85,8.87,-0.05
1886.39,735,-4.74,8.89,0
1886.28,736,-4.97,8.83,-0.01
1886.17,737,-4.94,8.82,0.07
1886.08,738,-4.88,8.81,0.14
1885.98,739,-4.75,8.83,0.2
1885.89,740,-4.76,8.93,-0.16
1885.8,741,-4.61,8.97,-0.18
1885.71,742,-4.4,8.99,-0.05
1885.62,743,-4.74,8.89,-0.01
1885.53,744,-4.92,8.83,0.05
1885.44,745,-4.93,8.84,-0.01
1885.35,746,-4.84,8.84,0.08
1885.26,747,-5.03,8.81,0
1885.17,748,-5.1,8.79,0.01
1885.02,749,-4.96,8.85,-0.06
1884.88,750,-4.8,8.92,-0.17
1884.74,751,-4.56,8.97,-0.14
1884.6,752,-4.6,8.94,-0.04
1884.45,753,-4.74,8.93,-0.15
1884.31,754,-4.92,8.9,-0.23
1884.17,755,-4.9,8.91,-0.24
1884.04,756,-4.65,8.9,0.07
1883.92,757,-4.6,8.94,-0.04
1883.79,758,-4.4,8.97,0.03
1883.67,759,-4.24,9.03,-0.02
1883.54,760,-4.22,9.1,-0.25
1883.42,761,-4.24,9.09,-0.25
1883.29,762,-4.54,8.99,-0.17
1883.17,763,-4.6,8.98,-0.21
1882.99,764,-4.54,8.99,-0.17
1882.81,765,-4.41,9.09,-0.39
1882.63,766,-4.24,9.09,-0.24
1882.44,767,-4.8,8.94,-0.26
1882.26,768,-4.89,8.87,-0.07
1882.08,769,-5.13,8.82,-0.15
1881.93,770,-4.99,8.83,-0.03
1881.78,771,-4.97,8.91,-0.3
1881.63,772,-4.72,9.02,-0.48
1881.47,773,-4.63,9.04,-0.46
1881.32,774,-4.76,8.95,-0.24
1881.17,775,-4.99,8.9,-0.29
1880.97,776,-4.77,8.92,-0.14
1880.77,777,-4.54,9.03,-0.32
1880.57,778,-4.65,9.01,-0.34
1880.37,779,-4.78,8.92,-0.15
1880.17,780,-4.88,8.82,0.1
1880,781,-4.89,8.86,-0.04
1879.83,782,-4.76,8.91,-0.11
1879.67,783,-4.47,8.91,0.19
1879.5,784,-4.25,9.01,0.04
1879.33,785,-4.52,8.94,0.01
1879.17,786,-4.58,8.89,0.14
1878.92,787,-4.45,8.98,-0.06
1878.67,788,-4.17,8.99,0.2
1878.42,789,-4.49,8.89,0.25
1878.17,790,-4.57,8.86,0.28
1877.97,791,-4.51,8.9,0.18
1877.77,792,-4.64,8.93,-0.05
1877.57,793,-4.59,8.89,0.13
1877.37,794,-4.82,8.86,0.03
1877.17,795,-4.75,8.84,0.15
1876.97,796,-4.55,8.96,-0.08
1876.77,797,-4.07,9.06,0.06
1876.57,798,-4.34,8.99,0.03
1876.37,799,-4.73,8.9,-0.04
1876.17,800,-4.84,8.83,0.11
1875.95,801,-4.58,8.88,0.19
1875.73,802,-4.32,9.01,-0.04
1875.52,803,-4.25,9.04,-0.07
1875.3,804,-4.48,8.97,-0.06
1875.08,805,-4.67,8.91,-0.02
1874.83,806,-4.5,8.93,0.07
1874.58,807,-4.53,8.95,-0.01
1874.33,808,-4.47,8.96,0.02
1874.08,809,-4.58,8.9,0.11
1873.9,810,-4.62,8.9,0.07
1873.72,811,-4.26,9.01,0.04
1873.53,812,-4.31,9,0.04
1873.35,813,-4.48,8.94,0.08
1873.17,814,-4.61,8.9,0.11
1872.92,815,-4.3,9.02,-0.03
1872.67,816,-4.2,8.98,0.22
1872.42,817,-4.59,8.9,0.12
1872.17,818,-4.68,8.82,0.29
1871.97,819,-4.77,8.83,0.17
1871.77,820,-4.49,8.93,0.09
1871.57,821,-4.55,8.94,-0.01
1871.37,822,-4.77,8.84,0.15
1871.17,823,-4.97,8.79,0.13
1870.97,824,-4.82,8.87,0
1870.77,825,-4.64,8.9,0.05
1870.57,826,-4.67,8.9,0.02
1870.37,827,-4.74,8.83,0.21
1870.17,828,-4.79,8.84,0.14
1869.98,829,-4.73,8.83,0.23
1869.8,830,-4.68,8.85,0.22
1869.62,831,-4.44,8.92,0.19
1869.43,832,-4.91,8.86,-0.08
1869.25,833,-5.09,8.76,0.13
1869.03,834,-4.83,8.85,0.06
1868.82,835,-4.84,8.9,-0.14
1868.6,836,-4.72,8.89,0
1868.38,837,-5.01,8.82,-0.02
1868.17,838,-4.42,8.78,0.7
1867.92,839,-5.03,8.84,-0.09
1867.67,840,-4.83,8.83,0.11
1867.42,841,-4.63,8.87,0.16
1867.17,842,-4.8,8.88,-0.01
1866.83,843,-4.78,8.86,0.06
1866.5,844,-4.48,8.96,-0.02
1866.17,845,-4.52,8.91,0.14
1866.04,846,-4.39,8.95,0.12
1865.92,847,-4.21,9.02,0.05
1865.79,848,-4.22,9.01,0.08
1865.67,849,-4.26,9.01,0.06
1865.54,850,-4.43,8.98,-0.02
1865.42,851,-4.69,8.86,0.15
1865.29,852,-4.57,8.89,0.15
1865.17,853,-4.89,8.84,0.01
1865.06,854,-4.89,8.83,0.06
1864.96,855,-4.71,8.87,0.12
1864.86,856,-4.69,8.88,0.09
1864.76,857,-4.65,8.95,-0.14
1864.66,858,-4.82,8.94,-0.27
1864.56,859,-4.69,8.94,-0.12
1864.45,860,-4.76,8.94,-0.21
1864.35,861,-4.74,8.87,0.06
1864.25,862,-4.94,8.87,-0.14
1864.14,863,-4.71,8.88,0.06
1864.03,864,-4.82,8.86,0.04
1863.93,865,-4.7,8.88,0.07
1863.82,866,-4.59,8.95,-0.08
1863.71,867,-4.66,8.93,-0.08
1863.6,868,-4.72,8.92,-0.1
1863.49,869,-4.7,8.92,-0.05
1863.38,870,-4.56,8.93,0.04
1863.28,871,-4.81,8.87,0.01
1863.17,872,-4.85,8.81,0.17
1863.05,873,-4.85,8.87,-0.06
1862.94,874,-4.77,8.91,-0.11
1862.82,875,-4.66,8.92,-0.03
1862.71,876,-4.41,8.98,-0.01
1862.59,877,-4.45,9,-0.12
1862.48,878,-4.48,8.97,-0.05
1862.36,879,-4.69,8.94,-0.13
1862.25,880,-4.74,8.87,0.06
1862.11,881,-4.39,8.95,0.13
1861.98,882,-4.46,8.95,0.04
1861.84,883,-4.24,8.98,0.18
1861.71,884,-4.26,8.99,0.1
1861.57,885,-4.42,8.93,0.15
1861.44,886,-4.34,8.96,0.12
1861.3,887,-4.48,8.97,-0.03
1861.17,888,-4.49,8.92,0.13
1860.98,889,-4.47,8.95,0.05
1860.8,890,-4.35,9,-0.03
1860.62,891,-4.3,9,0.03
1860.43,892,-4.62,8.91,0.04
1860.25,893,-4.58,8.92,0.03
1860.08,894,-4.73,8.92,-0.11
1859.92,895,NA,8.98,NA
1859.75,896,-4.36,9.02,-0.1
1859.58,897,-4.59,8.92,0.04
1859.42,898,-4.59,8.94,-0.03
1859.25,899,-4.67,8.89,0.07
1858.89,900,-4.49,8.97,-0.06
1858.53,901,-4.56,8.94,0
1858.17,902,-4.6,8.87,0.21
1857.92,903,-4.37,9,-0.02
1857.67,904,-4.16,9.09,-0.15
1857.42,905,-4.47,9,-0.16
1857.17,906,-4.54,8.97,-0.1
1856.92,907,-4.33,9.07,-0.26
1856.67,908,-4.25,9.03,-0.04
1856.42,909,-4.62,8.89,0.11
1856.17,910,-4.66,8.86,0.17
1855.97,911,-4.51,8.9,0.19
1855.77,912,-4.5,8.93,0.1
1855.57,913,-4.48,8.93,0.09
1855.37,914,-4.82,8.88,-0.03
1855.17,915,-4.75,8.83,0.23
1855.04,916,-4.76,8.89,-0.01
1854.9,917,-4.57,8.91,0.1
1854.77,918,-4.57,8.94,-0.01
1854.64,919,-4.65,8.9,0.07
1854.51,920,-4.8,8.85,0.08
1854.38,921,-4.68,8.86,0.15
1854.25,922,-4.75,8.82,0.25
1854.03,923,-4.51,8.93,0.07
1853.82,924,-4.51,8.93,0.07
1853.6,925,-4.6,8.92,0.02
1853.38,926,-4.59,8.86,0.27
1853.17,927,-4.68,8.87,0.13
1853.06,928,-4.61,8.86,0.22
1852.94,929,-4.64,8.91,0.01
1852.83,930,-4.33,8.94,0.23
1852.72,931,-4.18,9.01,0.11
1852.61,932,-4.31,NA,NA
1852.5,933,-4.4,NA,NA
1852.39,934,-4.56,8.92,0.06
1852.28,935,-4.77,8.85,0.11
1852.17,936,-4.97,8.84,-0.05
1852,937,-4.65,8.9,0.05
1851.83,938,-4.56,8.94,-0.01
1851.67,939,-4.48,8.92,0.14
1851.5,940,-4.74,8.92,-0.1
1851.33,941,-4.86,8.91,-0.19
1851.17,942,-4.87,8.87,-0.06
1850.92,943,-4.54,9.01,-0.24
1850.67,944,-4.51,9.04,-0.34
1850.42,945,-4.52,8.98,-0.11
1850.17,946,-4.8,8.88,-0.04
1850.02,947,-4.7,8.9,0
1849.88,948,-4.55,8.92,0.07
1849.74,949,-4.65,8.93,-0.06
1849.6,950,-4.83,8.88,-0.05
1849.45,951,-4.85,8.85,0.03
1849.31,952,-4.82,8.82,0.19
1849.17,953,-4.8,8.8,0.26
1849,954,-4.65,8.89,0.07
1848.83,955,-4.4,8.89,0.32
1848.67,956,-4.68,8.87,0.13
1848.5,957,-4.5,8.92,0.13
1848.33,958,-4.62,8.89,0.11
1848.17,959,-4.78,8.84,0.15
1848,960,-4.65,8.87,0.17
1847.83,961,-4.5,8.91,0.16
1847.67,962,-4.39,8.91,0.26
1847.5,963,-4.59,8.88,0.17
1847.33,964,-4.63,8.85,0.27
1847.17,965,-4.77,8.81,0.28
1847.02,966,-4.73,8.84,0.18
1846.88,967,-4.64,8.86,0.22
1846.74,968,-4.54,8.92,0.07
1846.6,969,-4.44,8.97,0
1846.45,970,-4.52,8.95,0.01
1846.31,971,-4.59,8.91,0.07
1846.17,972,-4.86,8.82,0.13
1846.02,973,-4.98,8.84,-0.07
1845.88,974,-4.77,8.87,0.04
1845.74,975,-4.72,8.96,-0.22
1845.6,976,-4.64,8.92,-0.02
1845.45,977,-4.7,8.92,-0.08
1845.31,978,-4.85,8.88,-0.06
1845.17,979,-4.7,8.9,-0.01
1844.97,980,-4.79,8.88,-0.02
1844.77,981,-4.46,9.04,-0.29
1844.57,982,-4.61,8.96,-0.13
1844.37,983,-4.62,8.88,0.14
1844.17,984,-4.6,8.84,0.31
1843.92,985,-4.57,8.93,0.01
1843.67,986,-4.46,8.96,0.02
1843.42,987,-4.8,8.87,0.02
1843.17,988,-4.94,8.84,-0.01
1843,989,-4.75,8.87,0.07
1842.83,990,-4.6,8.91,0.07
1842.67,991,-4.47,8.96,0.01
1842.5,992,-4.6,8.91,0.06
1842.33,993,-4.68,8.86,0.16
1842.17,994,-4.86,8.84,0.05
1842.04,995,-4.8,8.86,0.04
1841.92,996,-4.63,8.94,-0.07
1841.79,997,-4.58,8.97,-0.15
1841.67,998,-4.73,8.89,0.01
1841.54,999,-4.88,8.87,-0.07
1841.42,1000,-4.87,8.88,-0.1
1841.29,1001,-4.86,8.8,0.19
1841.17,1002,-4.88,8.8,0.17
1841.07,1003,-4.7,8.82,0.3
1840.97,1004,-4.55,8.91,0.13
1840.87,1005,-4.4,8.98,0
1840.77,1006,-4.2,9.01,0.11
1840.67,1007,-4.31,9.01,0
1840.57,1008,-4.31,8.98,0.09
1840.47,1009,-4.31,9,0.02
1840.37,1010,-4.45,8.94,0.09
1840.27,1011,-4.41,8.92,0.2
1840.17,1012,-4.53,8.92,0.1
1840.06,1013,-4.49,8.93,0.09
1839.94,1014,-4.26,8.98,0.14
1839.83,1015,-4.28,9.02,-0.01
1839.72,1016,-4.13,9.03,0.08
1839.61,1017,-4.54,9.02,-0.28
1839.5,1018,-4.41,8.98,0
1839.39,1019,-4.59,8.96,-0.11
1839.28,1020,-4.89,8.93,-0.29
1839.17,1021,-4.8,8.89,-0.06
1839.04,1022,-4.67,8.94,-0.1
1838.92,1023,-4.58,8.94,-0.04
1838.79,1024,-4.8,8.92,-0.16
1838.67,1025,-4.6,8.94,-0.06
1838.54,1026,-4.58,8.97,-0.13
1838.42,1027,-4.74,8.94,-0.18
1838.29,1028,-4.87,8.86,-0.04
1838.17,1029,-4.79,8.81,0.24
1837.97,1030,-4.67,8.85,0.22
1837.77,1031,-4.54,8.93,0.04
1837.57,1032,-4.69,8.9,0
1837.37,1033,-4.75,8.84,0.17
1837.17,1034,-4.81,8.81,0.21
1837,1035,-4.8,8.83,0.16
1836.83,1036,-4.67,8.91,-0.02
1836.67,1037,-4.52,8.96,-0.05
1836.5,1038,-4.62,8.92,-0.01
1836.33,1039,-4.92,8.85,-0.03
1836.17,1040,-4.91,8.81,0.12
1835.97,1041,-4.87,8.88,-0.09
1835.77,1042,-4.59,8.87,0.2
1835.57,1043,-4.6,8.89,0.12
1835.37,1044,-4.92,8.88,-0.14
1835.17,1045,-4.99,8.82,0.01
1835,1046,-4.76,8.93,-0.19
1834.83,1047,-4.63,8.97,-0.19
1834.67,1048,-4.67,8.91,-0.02
1834.5,1049,-4.73,8.89,0
1834.33,1050,-5.01,8.8,0.04
1834.17,1051,-5.15,8.8,-0.09
1834.02,1052,-5.05,8.81,-0.02
1833.88,1053,-4.84,8.86,0
1833.74,1054,-4.68,8.95,-0.15
1833.6,1055,-4.77,8.91,-0.11
1833.45,1056,-4.91,8.85,-0.02
1833.31,1057,-4.99,8.85,-0.12
1833.17,1058,-5.01,8.8,0.04
1833.06,1059,-4.9,8.81,0.12
1832.94,1060,-4.85,8.85,0.04
1832.83,1061,-4.75,8.88,0.03
1832.72,1062,-4.6,8.91,0.07
1832.61,1063,-4.63,8.91,0.05
1832.5,1064,-4.88,8.89,-0.15
1832.39,1065,-4.71,8.88,0.06
1832.28,1066,-4.63,8.84,0.28
1832.17,1067,-4.71,8.83,0.25
1832.04,1068,-4.73,8.82,0.25
1831.92,1069,-4.74,8.92,-0.11
1831.79,1070,-4.54,8.92,0.1
1831.67,1071,-4.74,8.85,0.15
1831.54,1072,-4.69,8.85,0.2
1831.42,1073,-4.96,8.79,0.12
1831.29,1074,-4.83,8.77,0.35
1831.17,1075,-4.85,8.76,0.38
1831,1076,-4.77,8.76,0.45
1830.83,1077,-4.6,8.91,0.06
1830.67,1078,-4.36,8.87,0.44
1830.5,1079,-4.72,8.92,-0.09
1830.33,1080,-4.62,8.84,0.32
1830.17,1081,-4.69,8.83,0.28
1830.06,1082,-4.66,8.9,0.04
1829.94,1083,-4.59,8.89,0.14
1829.83,1084,-4.62,8.92,-0.01
1829.72,1085,-4.33,8.97,0.11
1829.61,1086,-4.4,8.99,-0.02
1829.5,1087,-4.46,8.93,0.11
1829.39,1088,-4.73,8.95,-0.19
1829.28,1089,-4.54,8.85,0.32
1829.17,1090,-4.75,8.82,0.24
1829.02,1091,-4.52,8.85,0.35
1828.88,1092,-4.63,8.92,0
1828.74,1093,-4.39,8.97,0.05
1828.6,1094,-4.49,8.99,-0.11
1828.45,1095,-4.6,8.89,0.14
1828.31,1096,-4.83,8.82,0.16
1828.17,1097,-4.95,8.81,0.07
1828.04,1098,-4.54,8.82,0.44
1827.92,1099,-4.69,8.88,0.08
1827.79,1100,-4.51,8.92,0.12
1827.67,1101,-4.94,8.92,-0.3
1827.54,1102,-4.81,8.88,-0.02
1827.42,1103,-4.91,8.9,-0.21
1827.29,1104,-4.84,8.87,-0.04
1827.17,1105,-5.05,8.83,-0.09
1826.97,1106,-4.53,8.89,0.22
1826.77,1107,-4.68,8.94,-0.13
1826.57,1108,-4.54,8.97,-0.1
1826.37,1109,-4.71,8.9,-0.01
1826.17,1110,-4.85,8.84,0.06
1826,1111,-4.63,8.85,0.26
1825.83,1112,-4.69,8.93,-0.09
1825.67,1113,-4.68,8.9,0.01
1825.5,1114,-4.75,8.86,0.09
1825.33,1115,-4.78,8.85,0.12
1825.17,1116,-4.85,8.83,0.11
1825,1117,-4.76,8.87,0.04
1824.83,1118,-4.67,8.92,-0.03
1824.67,1119,-4.67,8.86,0.16
1824.5,1120,-4.97,8.86,-0.14
1824.33,1121,-5.06,8.87,-0.26
1824.17,1122,-4.94,8.83,0
1824.08,1123,-4.79,8.87,0.01
1824,1124,-4.61,8.88,0.15
1823.92,1125,-4.61,8.87,0.18
1823.83,1126,-4.55,8.91,0.12
1823.75,1127,-4.39,8.93,0.21
1823.67,1128,-4.47,8.98,-0.06
1823.58,1129,-4.47,8.97,-0.04
1823.5,1130,-4.57,8.95,-0.06
1823.42,1131,-4.66,8.93,-0.07
1823.33,1132,-4.63,8.88,0.15
1823.25,1133,-4.63,8.86,0.23
1823.17,1134,-4.76,8.85,0.13
1823.07,1135,-4.73,8.86,0.1
1822.97,1136,-4.57,8.94,-0.02
1822.87,1137,-4.53,8.96,-0.06
1822.77,1138,-4.7,8.96,-0.22
1822.67,1139,-4.62,8.95,-0.11
1822.57,1140,-4.63,8.92,0.01
1822.47,1141,-4.64,8.84,0.27
1822.37,1142,-4.58,8.87,0.22
1822.27,1143,-4.73,8.88,0.05
1822.17,1144,-4.74,8.81,0.27
1822.02,1145,-4.94,8.81,0.08
1821.88,1146,-4.69,8.89,0.03
1821.74,1147,-4.56,8.94,0.01
1821.6,1148,-4.5,8.92,0.12
1821.45,1149,-4.74,8.88,0.01
1821.31,1150,-4.74,8.9,-0.03
1821.17,1151,-4.74,8.84,0.16
1821,1152,-4.64,8.9,0.07
1820.83,1153,-4.28,8.99,0.1
1820.67,1154,-4.64,8.98,-0.22
1820.5,1155,-4.57,8.95,-0.04
1820.33,1156,-4.87,8.87,-0.07
1820.17,1157,-4.67,8.86,0.18
1819.97,1158,-4.7,8.89,0.03
1819.77,1159,-4.23,9.05,-0.08
1819.57,1160,-4.52,9,-0.19
1819.37,1161,-4.65,8.93,-0.05
1819.17,1162,-4.65,8.88,0.14
1819,1163,-4.6,8.93,-0.02
1818.83,1164,-4.4,8.98,0
1818.67,1165,-4.7,8.98,-0.3
1818.5,1166,-4.77,8.93,-0.19
1818.33,1167,-5,8.86,-0.15
1818.17,1168,-4.97,8.82,0.02
1817.97,1169,-4.62,8.89,0.1
1817.77,1170,-4.48,8.92,0.13
1817.57,1171,-4.51,8.94,0.04
1817.37,1172,-4.97,8.83,0
1817.17,1173,-5.13,8.78,0.02
1817.02,1174,-4.95,8.87,-0.16
1816.88,1175,-4.73,8.86,0.13
1816.74,1176,-4.71,8.87,0.11
1816.6,1177,-4.48,8.89,0.24
1816.45,1178,-4.56,8.87,0.23
1816.31,1179,-4.82,8.8,0.25
1816.17,1180,-4.85,8.75,0.39
1816,1181,-4.47,8.9,0.24
1815.83,1182,-4.27,8.92,0.38
1815.67,1183,-4.49,8.89,0.25
1815.5,1184,-4.56,8.86,0.28
1815.33,1185,-4.61,8.88,0.16
1815.17,1186,-4.81,8.8,0.27
1815.08,1187,-4.66,8.83,0.3
1815,1188,-4.67,8.84,0.26
1814.92,1189,-4.58,8.85,0.32
1814.83,1190,-4.53,8.89,0.21
1814.75,1191,-4.33,8.91,0.34
1814.67,1192,-4.38,8.91,0.29
1814.58,1193,-4.41,8.93,0.17
1814.5,1194,-4.35,8.93,0.23
1814.42,1195,-4.54,8.93,0.04
1814.33,1196,-4.61,8.91,0.04
1814.25,1197,-4.62,8.87,0.18
1814.17,1198,-4.7,8.85,0.2
1814,1199,-4.58,NA,NA
1813.83,1200,-4.49,8.93,0.1
1813.67,1201,-4.45,8.98,-0.06
1813.5,1202,-4.44,8.93,0.15
1813.33,1203,-4.86,8.85,0.01
1813.17,1204,-4.79,8.85,0.09
1813.02,1205,-4.88,8.9,-0.2
1812.88,1206,-4.82,8.84,0.09
1812.74,1207,-4.8,8.91,-0.12
1812.6,1208,-4.55,8.89,0.18
1812.45,1209,-4.61,8.9,0.08
1812.31,1210,-4.76,8.87,0.03
1812.17,1211,-4.74,8.85,0.15
1812.02,1212,-4.74,NA,NA
1811.88,1213,-4.64,8.91,0.01
1811.74,1214,-4.5,8.9,0.19
1811.6,1215,-4.5,8.86,0.34
1811.45,1216,-4.75,NA,NA
1811.31,1217,-4.77,8.81,0.25
1811.17,1218,-4.92,8.76,0.28
1811,1219,-4.62,8.91,0.05
1810.83,1220,-4.36,8.93,0.23
1810.67,1221,-4.64,8.84,0.29
1810.5,1222,-4.88,8.82,0.1
1810.33,1223,-5.15,8.75,0.1
1810.17,1224,-4.89,8.7,0.55
1809.97,1225,-4.99,8.8,0.06
1809.77,1226,-4.73,8.8,0.32
1809.57,1227,-4.65,NA,NA
1809.37,1228,-4.74,8.86,0.11
1809.17,1229,-4.97,8.74,0.3
1809.04,1230,-5.02,8.78,0.12
1808.92,1231,-4.99,8.78,0.16
1808.79,1232,-4.74,8.82,0.25
1808.67,1233,-4.78,8.83,0.18
1808.54,1234,-4.75,8.85,0.15
1808.42,1235,-4.82,8.8,0.23
1808.29,1236,-4.96,8.78,0.19
1808.17,1237,-4.9,8.77,0.26
