year (AD),age (yr BP),d18O (permil)
1952.0811,-2.08110000000011,0.44
1900.932,49.068,0.24
1885.588,64.412,0.74
1875.358,74.6420000000001,0.54
1865.128,84.8720000000001,0.63
1854.899,95.1010000000001,0.94
1844.67,105.33,0.15
1834.44,115.56,0.23
1824.21,125.79,0.46
1813.98,136.02,0.06
1803.75,146.25,0.82
1793.52,156.48,0.55
1783.29,166.71,0.58
1773.06,176.94,0.59
1747.49,202.51,0.78
1650.3,299.7,0.05
1578.7,371.3,0.25
1537.78,412.22,0.55
1507.09,442.91,0.28
1466.17,483.83,0.29
1415.02,534.98,0.26
1379.22,570.78,0.44
1358.76,591.24,0.59
1343.41,606.59,0.85
1338.3,611.7,0.62
1322.95,627.05,0.36
1312.72,637.28,0.51
1302.49,647.51,0.58
1287.15,662.85,0.87
1271.8,678.2,0.6
1261.57,688.43,0.69
1251.34,698.66,0.52
1241.11,708.89,0.79
1215.09,734.91,0.13
1159.33,790.67,0.33
1124.48,825.52,1.07
1096.61,853.39,0.31
1054.79,895.21,0.55
1019.94,930.06,0.52
985.09,964.91,0.47
929.3,1020.7,0.3
908.4,1041.6,0.31
894.5,1055.5,0.55
880.5,1069.5,0.43
866.6,1083.4,0.22
852.7,1097.3,0.27
838.7,1111.3,0.16
824.8,1125.2,-0.13
810.8,1139.2,0.16
796.9,1153.1,0.37
783,1167,0.35
745.7,1204.3,0.66
685,1265,0.19
624.3,1325.7,0.63
563.7,1386.3,0.3
503,1447,0.41
442.3,1507.7,-0.13
397.7,1552.3,0.02
369.1,1580.9,0.32
340.5,1609.5,0.12
311.9,1638.1,0.33
283.3,1666.7,-0.23
254.7,1695.3,0.05
226.2,1723.8,0.14
183.3,1766.7,0.76
140.4,1809.6,-0.03
111.8,1838.2,0.17
83.2,1866.8,0.62
54.5999999999999,1895.4,0.27
26,1924,1.03
-2.59999999999991,1952.6,0.72
-31.2,1981.2,0.62
-88.4000000000001,2038.4,0.1
-145.5,2095.5,0.08
-174.1,2124.1,0.44
-202.7,2152.7,0.41
-259.9,2209.9,0.04
-331.4,2281.4,0.3
-374.3,2324.3,0.33
-402.9,2352.9,0.13
-431.5,2381.5,0.1
-460,2410,0.57
-502.9,2452.9,0.36
-545.8,2495.8,0.31
-574.4,2524.4,-0.28
-603,2553,-0.18
-631.6,2581.6,0.45
-660.2,2610.2,0.48
-703.1,2653.1,0.58
-774.5,2724.5,0.5
-831.7,2781.7,0.45
-860.3,2810.3,0.04
-888.9,2838.9,-0.26
-917.5,2867.5,0.43
-946.1,2896.1,0.57
-974.7,2924.7,0.43
-1003.3,2953.3,0.41
-1031.9,2981.9,0.24
-1074.8,3024.8,0.22
-1117.6,3067.6,0.3
-1146.2,3096.2,-0.09
-1189.1,3139.1,0.27
-1232,3182,0.21
-1260.6,3210.6,-0.04
-1289.2,3239.2,0.22
-1317.8,3267.8,0.16
-1360.7,3310.7,0.63
-1403.6,3353.6,0.63
-1432.2,3382.2,-0.27
-1460.7,3410.7,0.54
-1503.6,3453.6,0.22
-1560.8,3510.8,-0.15
-1603.7,3553.7,0.64
-1632.3,3582.3,0.79
-1660.9,3610.9,0.21
-1703.8,3653.8,0.2
-1761,3711,0.45
-1803.8,3753.8,0.43
-1832.4,3782.4,0.62
-1861,3811,0.55
-1889.6,3839.6,0.15
-1946.8,3896.8,0.17
-2004,3954,0.25
-2032.6,3982.6,0.21
-2061.2,4011.2,0.18
-2289.9,4239.9,0.76
-2318.5,4268.5,0.45
-2347.1,4297.1,1.1
-2375.7,4325.7,0.57
-2404.3,4354.3,0.01
-2447.2,4397.2,0.43
-2504.3,4454.3,-0.03
-2547.2,4497.2,0.73
-2590.1,4540.1,0.16
-2675.9,4625.9,0.34
-2790.3,4740.3,0.18
-2847.4,4797.4,0.54
-2890.3,4840.3,0.86
-2976.1,4926.1,0.47
-3104.8,5054.8,0.55
-3190.5,5140.5,0.78
-3304.9,5254.9,0.96
-3419.3,5369.3,0.71
-3562.2,5512.2,0.64
-3661.4,5611.4,0.62
-3670.4,5620.4,0.38
-3679.4,5629.4,0.31
-3697.3,5647.3,0.42
-3724.2,5674.2,0.45
-3742.1,5692.1,0.62
-3751.1,5701.1,0.26
-3760.1,5710.1,0.14
-3769,5719,0.2
-3778,5728,0.54
-3795.9,5745.9,0.85
-3813.8,5763.8,0.43
-3836.3,5786.3,-0.1
-3858.7,5808.7,0.2
-3876.6,5826.6,1.01
-3894.5,5844.5,0.64
-3903.5,5853.5,0.48
-3912.5,5862.5,0.21
-3925.9,5875.9,0.8
-3939.4,5889.4,0.79
-3948.3,5898.3,0.35
-3957.3,5907.3,0.18
-3966.2,5916.2,0.43
-3993.1,5943.1,0.3
-4145.5,6095.5,1.17
-4154.5,6104.5,0.5
-4163.5,6113.5,1.14
-4176.9,6126.9,0.7
-4194.8,6144.8,0.1
-4212.8,6162.8,0.14
-4226.2,6176.2,0.39
-4235.2,6185.2,0.7
-4244.2,6194.2,0.75
-4253.1,6203.1,0.73
-4266.6,6216.6,0.69
-4306.9,6256.9,-0.1
-4315.9,6265.9,1.02
-4329.3,6279.3,0.66
-4342.8,6292.8,1.11
-4351.7,6301.7,0.57
-4360.7,6310.7,0.72
-4369.7,6319.7,0.91
-4378.6,6328.6,0.66
-4387.6,6337.6,0.74
-4396.6,6346.6,0.82
-4405.5,6355.5,0.94
-4419.4,6369.4,1.14
-4438.1,6388.1,1.26
-4456.8,6406.8,0.87
-4484.9,6434.9,0.47
-4513,6463,0.86
-4531.7,6481.7,0.67
-4550.5,6500.5,0.57
-4569.2,6519.2,1.01
-4587.9,6537.9,0.62
-4606.6,6556.6,0.67
-4625.4,6575.4,0.68
-4644.1,6594.1,0.6
-4662.8,6612.8,0.48
-4681.5,6631.5,0.6
-4719,6669,0.68
-4737.7,6687.7,0.92
-4765.8,6715.8,0.63
-4803.3,6753.3,0.75
-4831.4,6781.4,1.21
-4850.1,6800.1,0.67
-4878.2,6828.2,0.71
-4906.3,6856.3,1.5
-4925,6875,0.63
-4943.7,6893.7,0.93
-4962.5,6912.5,1.14
-4981.2,6931.2,0.73
-4999.9,6949.9,0.85
-5018.6,6968.6,0.86
-5037.4,6987.4,1.2
-5056.1,7006.1,1
-5112.3,7062.3,0.16
-5131,7081,0.83
-5168.5,7118.5,0.95
-5234,7184,1.04
-5271.5,7221.5,1.32
-5299.5,7249.5,1.7
-5318.3,7268.3,1.35
-5337,7287,0.2
-5552.4,7502.4,1.56
-5580.5,7530.5,1.27
-5599.2,7549.2,1.29
-5617.9,7567.9,1.99
-5636.6,7586.6,1.51
-5655.4,7605.4,1.71
-5674.1,7624.1,1.71
-5692.8,7642.8,2.12
-5711.5,7661.5,2.17
-5730.3,7680.3,1.97
-5749,7699,2.25
-5767.7,7717.7,1.59
-5786.5,7736.5,1.8
-5805.2,7755.2,1.8
-5823.9,7773.9,1.71
-5842.6,7792.6,1.91
-5861.4,7811.4,2.02
-5880.1,7830.1,1.87
-5898.8,7848.8,2.09
-5917.5,7867.5,1.77
-5936.3,7886.3,1.89
-5955,7905,1.75
-5973.7,7923.7,2.25
-5992.5,7942.5,2.2
-6011.2,7961.2,1.83
-6029.9,7979.9,2.25
-6048.6,7998.6,1.8
-6067.4,8017.4,2.04
-6086.1,8036.1,2.05
-6104.8,8054.8,1.64
-6123.5,8073.5,1.41
-6142.3,8092.3,1.77
-6161,8111,1.92
-6179.7,8129.7,1.95
-6198.5,8148.5,1.96
-6217.2,8167.2,2.22
-6235.9,8185.9,2.01
-6254.6,8204.6,2.07
-6273.4,8223.4,1.9
-6292.1,8242.1,1.79
-6310.8,8260.8,2.12
-6329.5,8279.5,1.98
-6348.3,8298.3,2.3
-6367,8317,1.82
-6385.7,8335.7,2.27
-6404.5,8354.5,2.12
-6423.2,8373.2,2.09
-6441.9,8391.9,2.25
-6460.6,8410.6,2.07
-6479.4,8429.4,2.07
-6498.1,8448.1,1.86
-6516.8,8466.8,1.79
-6535.5,8485.5,2.25
-6554.3,8504.3,2.51
-6573,8523,2.17
-6591.7,8541.7,1.97
-6610.5,8560.5,1.92
-6629.2,8579.2,2.43
-6816.5,8766.5,1.95
-6835.2,8785.2,1.91
-6853.9,8803.9,2.07
-6872.6,8822.6,2.2
-6891.4,8841.4,2.04
-6910.1,8860.1,2.63
-6928.8,8878.8,2.18
-6947.5,8897.5,2.36
-6966.3,8916.3,2.41
-6985,8935,2.41
-7003.7,8953.7,2.04
-7022.5,8972.5,2.19
-7041.2,8991.2,2.41
-7059.9,9009.9,2.44
-7078.6,9028.6,2.09
-7097.4,9047.4,2.38
-7116.1,9066.1,2.53
-7134.8,9084.8,1.94
-7153.5,9103.5,2.29
-7172.3,9122.3,1.82
-7191,9141,1.82
-7209.7,9159.7,2.14
-7228.5,9178.5,2.31
-7247.2,9197.2,2.13
-7265.9,9215.9,2.35
-7284.6,9234.6,2.14
-7303.4,9253.4,1.81
-7322.1,9272.1,1.97
-7340.8,9290.8,2.31
-7359.5,9309.5,2.2
-7378.3,9328.3,1.86
-7397,9347,2.41
-7415.7,9365.7,2.53
-7434.5,9384.5,2
-7453.2,9403.2,2.22
-7471.9,9421.9,2.3
-7490.6,9440.6,2.42
-7509.7,9459.7,2.25
-7529.2,9479.2,2.27
-7548.7,9498.7,1.74
-7568.2,9518.2,1.23
-7587.7,9537.7,2.12
-7607.2,9557.2,1.77
-7626.8,9576.8,1.89
-7646.3,9596.3,2.09
-7665.8,9615.8,2.28
-7685.2,9635.2,2.4
-7704.7,9654.7,2.08
-7724.2,9674.2,1.93
-7743.7,9693.7,2.11
-7773,9723,2.03
-7802.2,9752.2,1.83
-7821.8,9771.8,1.08
-7841.2,9791.2,1.71
-7860.8,9810.8,2.11
-7880.2,9830.2,1.69
-7899.8,9849.8,1.66
-7919.2,9869.2,1.43
-7938.7,9888.7,1.59
-7958.3,9908.3,2.03
-7977.7,9927.7,1.85
-7997.3,9947.3,1.69
-8016.7,9966.7,0.52
-8036.2,9986.2,1.83
-8056,10006,1.53
-8075,10025,2.06
-8114,10064,1.96
